Digest,Title,Date,Type,Jurisdiction or issuer,Source URL on the site,Downloader reason,What is actually there,Form,Is the named document,Direct PDF URL to retry,Corrected source URL,Note
AI Act Part 2,AI Act Service Desk explorer and compliance checker (Article 99 page with Omnibus notice),8 October 2025,reference-tool,European Commission (AI Office),https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-99,no_pdf_link,ok,html,yes,,,Interactive explorer page with the article text embedded in HTML; no PDF to download.
AI Act Part 2,AI Act Service Desk: timeline for the implementation of the EU AI Act,27 July 2026,reference-tool,European Commission (AI Office),https://ai-act-service-desk.ec.europa.eu/en/ai-act/timeline/timeline-implementation-eu-ai-act,no_pdf_link,ok,html,yes,,,"Live HTML timeline page, matches title; no PDF offered."
AI Act Part 2,"AI Act complaints tool, whistleblower tool and downstream provider channel",31 July 2026,reference-tool,European Commission (AI Office),https://digital-strategy.ec.europa.eu/en/policies/ai-act-complaints-tool,no_pdf_link,ok,html,yes,,,"Full descriptive text embedded as HTML; the actual complaint form is on an external Integrityline platform, not a document."
AI Act Part 2,AI Act standardisation: standardisation request C(2023)3215 as amended by C(2025)3871,22 May 2023,standards,European Commission,https://digital-strategy.ec.europa.eu/en/policies/ai-act-standardisation,no_pdf_link,ok,html,no,,,"General policy overview page on AI Act standardisation, not the specific standardisation request C(2023)3215/C(2025)3871 document named."
AI Act Part 2,AI Pact: collaborative network and voluntary pledges,25 September 2024,policy,European Commission (AI Office),https://digital-strategy.ec.europa.eu/en/policies/ai-pact,no_pdf_link,ok,html,yes,,,"Live informational page on the AI Pact initiative and its signatories; HTML only, no PDF."
AI Act Part 2,AI literacy questions and answers (updated for the Digital Omnibus),27 July 2026,qa,European Commission,https://digital-strategy.ec.europa.eu/en/faqs/ai-literacy-questions-answers,no_pdf_link,ok,html,yes,,,"Full FAQ content is on the page itself as HTML; no PDF exists, matching the no_pdf_link hint."
AI Act Part 2,Apply AI Strategy and AI in Science Strategy,8 October 2025,policy,European Commission,https://commission.europa.eu/news-and-media/news/keeping-european-industry-and-science-forefront-ai-2025-10-08_en,no_pdf_link,ok,html,yes,,,Live news article (8 Oct 2025) announcing the Apply AI and AI in Science strategies named in the title; content is HTML only.
AI Act Part 2,Appointment of the Scientific Panel of independent experts and the Advisory Forum,1 June 2026,policy,European Commission (AI Office),https://digital-strategy.ec.europa.eu/en/news/ai-act-enforcement-gets-independent-expert-support,no_pdf_link,ok,html,yes,,,Full press release embedded as HTML; page title differs from packet title but covers the same appointment announcement.
AI Act Part 2,Code of Practice on transparency of AI-generated content (marking and labelling),10 June 2026,code-of-practice,"European Commission (AI Office), drafted by independent experts",https://digital-strategy.ec.europa.eu/en/policies/code-practice-ai-generated-content,no_pdf_link,ok,html_with_pdf,yes,https://ec.europa.eu/newsroom/dae/redirection/document/129555,,EC policy overview page carries a direct PDF link to the Code of Practice itself.
AI Act Part 2,Commission Guidelines on prohibited artificial intelligence practices,4 February 2025,commission-guidelines,European Commission,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-guidelines-prohibited-artificial-intelligence-ai-practices-defined-ai-act,no_pdf_link,ok,html_with_pdf,yes,,,"News/library page matches the title; the guidelines exist as a PDF (24 languages) reached through an EU newsroom redirect link, not a stable direct URL."
AI Act Part 2,Commission Guidelines on the definition of an AI system,6 February 2025,commission-guidelines,European Commission,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-guidelines-ai-system-definition-facilitate-first-ai-acts-rules-application,no_pdf_link,ok,html_with_pdf,yes,,,Announcement page linking to 24 per-language PDFs of the guidelines plus a communication document; individual PDF URLs were not captured by the fetch.
AI Act Part 2,Commission Guidelines on the scope of obligations for providers of general-purpose AI models,18 July 2025,commission-guidelines,European Commission,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,no_pdf_link,ok,html,yes,,,"Hub page explaining the guidelines; its 'Download the guidelines' link points to another EC library landing page (24-language index), not directly to a PDF file, so no single PDF URL could be confirmed."
AI Act Part 2,Commission Guidelines on transparency obligations for providers and deployers of certain AI systems (Article 50),20 July 2026,commission-guidelines,European Commission,https://digital-strategy.ec.europa.eu/en/library/guidelines-transparency-obligations-providers-and-deployers-ai-systems,no_pdf_link,ok,html_with_pdf,yes,https://ec.europa.eu/newsroom/dae/redirection/document/131215,,Landing page describing the Commission guidelines; the guidelines PDF is linked via a newsroom redirection URL.
AI Act Part 2,Commission Implementing Regulation (EU) 2025/454 on the scientific panel of independent experts,5 March 2025,delegated-or-implementing-act,European Commission,https://digital-strategy.ec.europa.eu/en/policies/ai-scientific-panel,no_pdf_link,ok,html,no,,,EC policy page describing the Scientific Panel and its 60 experts; mentions Implementing Regulation (EU) 2025/454 as the legal basis but does not host or link its text.
AI Act Part 2,Commission Opinion and AI Board adequacy assessment of the transparency Code of Practice,9 July 2026,policy,European Commission and European Artificial Intelligence Board,https://digital-strategy.ec.europa.eu/en/library/commission-opinion-assessment-code-practice-transparency-ai-generated-content,no_pdf_link,ok,html_with_pdf,yes,https://ec.europa.eu/newsroom/dae/redirection/document/130913,,"Landing page; the Commission Opinion PDF and a separate AI Board adequacy assessment PDF are both linked, this pdf_url is the Commission Opinion."
AI Act Part 2,Commission proposal COM(2025) 836 for a Digital Omnibus on AI,19 November 2025,policy,European Commission,https://digital-strategy.ec.europa.eu/en/library/digital-omnibus-ai-regulation-proposal,no_pdf_link,ok,html,yes,,,"Commission library page for the correct proposal; full text (COM(2025) 836) is hosted at EUR-Lex under CELEX:52025PC0836, linked from this page."
AI Act Part 2,Council press release: Council and Parliament agree to simplify and streamline AI rules,7 May 2026,policy,Council of the European Union,https://www.consilium.europa.eu/en/press/press-releases/2026/05/07/artificial-intelligence-council-and-parliament-agree-to-simplify-and-streamline-rules/,403,ok,html,yes,,,"Live Council press release, full text on the page. A PDF downloader could never get this; there is no PDF."
AI Act Part 2,Council press release: Council gives final green light to simplified AI rules,29 June 2026,policy,Council of the European Union,https://www.consilium.europa.eu/en/press/press-releases/2026/06/29/artificial-intelligence-council-gives-final-green-light-to-simplify-and-streamline-rules/,403,ok,html_with_pdf,yes,https://data.consilium.europa.eu/doc/document/PE-30-2026-INIT/en/pdf,,Press release loaded fine here (no 403 this time); it links out to the PDF text of the regulation itself.
AI Act Part 2,Draft Commission Guidelines on the classification of high-risk AI systems,19 May 2026,commission-guidelines,European Commission,https://digital-strategy.ec.europa.eu/en/library/draft-commission-guidelines-classification-high-risk-ai-systems,no_pdf_link,ok,html_with_pdf,yes,https://ec.europa.eu/newsroom/dae/redirection/document/128559,,"Landing page with three PDF downloads (general principles, Annex I, Annex III); pdf_url is the general-principles document, the closest match to the title."
AI Act Part 2,Draft guidance and reporting template on serious AI incidents,26 September 2025,template,European Commission (AI Office),https://digital-strategy.ec.europa.eu/en/consultations/ai-act-commission-issues-draft-guidance-and-reporting-template-serious-ai-incidents-and-seeks,no_pdf_link,ok,html_with_pdf,yes,,,Consultation announcement page; links to the draft guidance and reporting-template PDFs but their exact URLs were not captured from the fetch.
AI Act Part 2,EDPB Opinion 28/2024 on certain data protection aspects related to the processing of personal data in the context of AI models,18 December 2024,edpb-edps,European Data Protection Board,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-282024-on-certain-data-protection-aspects-related-to_en,404,ok,html_with_pdf,yes,https://www.edpb.europa.eu/system/files/documents/2024-12/edpb_opinion_202428_ai-models_en.pdf,,Loads fine despite the downloader's 404; landing page with a direct PDF link.
AI Act Part 2,EDPB Support Pool of Experts report: AI Privacy Risks and Mitigations in Large Language Models,10 April 2025,edpb-edps,"European Data Protection Board (Support Pool of Experts), author Isabel Barbera",https://www.edpb.europa.eu/system/files/2025-04/ai-privacy-risks-and-mitigations-in-llms.pdf,incomplete_read,ok,pdf,yes,https://www.edpb.europa.eu/system/files/2025-04/ai-privacy-risks-and-mitigations-in-llms.pdf,,"First fetch attempt errored outright; retry succeeded and returned the full SPE report text, so the link itself is fine."
AI Act Part 2,EU AI Act Compliance Checker (artificialintelligenceact.eu),3 July 2025,reference-tool,Future of Life Institute,https://artificialintelligenceact.eu/assessment/eu-ai-act-compliance-checker/,dns,ok,html,yes,,,"Interactive HTML compliance-checker tool; a separate 'PDF Flowchart' version is offered as an option but the page itself is the interactive form, not a PDF."
AI Act Part 2,EU AI Act Explorer (artificialintelligenceact.eu),27 July 2026,reference-tool,Future of Life Institute,https://artificialintelligenceact.eu/ai-act-explorer/,no_pdf_link,ok,html,yes,,,Interactive HTML explorer of the full Act text; an official PDF of the underlying regulation is linked separately but is not this tool.
AI Act Part 2,EU icons for labelling AI-generated content,10 August 2026,template,European Commission (AI Office),https://digital-strategy.ec.europa.eu/en/policies/eu-icons-labelling-ai-generated-content,no_pdf_link,ok,html,yes,,,Live Commission policy page with the full guidance as HTML; icon files (SVG/PNG) are downloadable but the document itself is not a PDF.
AI Act Part 2,European AI Office and Commission Decision C(2024) 390 establishing it,24 January 2024,policy,European Commission,https://digital-strategy.ec.europa.eu/en/policies/ai-office,no_pdf_link,ok,html,yes,,,General overview page on the AI Office's structure and tasks; does not reproduce Commission Decision C(2024) 390 itself.
AI Act Part 2,European Artificial Intelligence Board,10 September 2024,policy,European Commission (AI Office secretariat) and Member States,https://digital-strategy.ec.europa.eu/en/policies/ai-board,no_pdf_link,ok,html,yes,,,"Live EC policy page about the European AI Board, matches the title."
AI Act Part 2,European Parliament legislative train: Digital Omnibus on AI,20 June 2026,reference-tool,European Parliament,https://www.europarl.europa.eu/legislative-train/package-digital-package/file-digital-omnibus-on-ai,no_pdf_link,ok,html,yes,,,"Live tracker page with full status summary matching the title; content is inline HTML, no PDF involved."
AI Act Part 2,Explanatory notice and template for the public summary of training content of GPAI models,24 July 2025,template,European Commission (AI Office),https://digital-strategy.ec.europa.eu/en/library/explanatory-notice-and-template-public-summary-training-content-general-purpose-ai-models,no_pdf_link,ok,html_with_pdf,yes,https://ec.europa.eu/newsroom/dae/redirection/document/118480,,"Landing page for the notice/template; downloadable as PDF (all 24 languages) or Word, not shown as page HTML."
AI Act Part 2,France: DGCCRF as coordinating authority and single point of contact under a pending legislative proposal,17 June 2026,national-law,Government of France,https://artificialintelligenceact.eu/national-implementation-plans/,403,ok,html,yes,,,"Live tracker page with a per-country table including France's authority designations; HTML only, so a PDF downloader was never going to find anything here."
AI Act Part 2,General-Purpose AI Code of Practice and list of signatories,10 July 2025,code-of-practice,"European Commission (AI Office), drafted by independent experts",https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,no_pdf_link,ok,html_with_pdf,yes,,,"Hub page matches the title; the Code itself is three separate PDF chapters (Transparency, Copyright, Safety and Security) plus a signatory list, no single PDF URL for the whole thing."
AI Act Part 2,Germany: KI-Marktueberwachungs- und Innovationsunterstuetzungsgesetz (KI-MIG) and Bundesnetzagentur designation,29 July 2026,national-law,Bundesnetzagentur (Germany),https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/EN/2026/20260729_KI_VO.html,no_pdf_link,ok,html,yes,,,Live English press release on BNetzA's AI Act role under the new KI-MIG law; content is HTML only.
AI Act Part 2,Ireland: S.I. No. 366 of 2025 and the designated competent authorities,17 June 2026,national-law,Government of Ireland,https://artificialintelligenceact.eu/national-implementation-plans/,403,ok,html,yes,,,"Live tracker page with a per-country table including France's authority designations; HTML only, so a PDF downloader was never going to find anything here."
AI Act Part 2,Italy: Law No. 132/2025 on artificial intelligence,10 October 2025,national-law,Italian Parliament,https://artificialintelligenceact.eu/national-implementation-plans/,403,ok,html,yes,,,"Live tracker page with a per-country table including France's authority designations; HTML only, so a PDF downloader was never going to find anything here."
AI Act Part 2,Market surveillance authorities and single points of contact under the AI Act,7 September 2026,reference-tool,European Commission (AI Office),https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,no_pdf_link,ok,html,yes,,,Live page with narrative plus a table of national single points of contact.
AI Act Part 2,National implementation plans and authorities overview (all Member States),17 June 2026,reference-tool,Future of Life Institute (artificialintelligenceact.eu),https://artificialintelligenceact.eu/national-implementation-plans/,403,ok,html,yes,,,"Live tracker page with a per-country table including France's authority designations; HTML only, so a PDF downloader was never going to find anything here."
AI Act Part 2,Navigating the AI Act: questions and answers,7 August 2026,qa,European Commission,https://digital-strategy.ec.europa.eu/en/faqs/navigating-ai-act,no_pdf_link,ok,html,yes,,,Full FAQ content inline as HTML; no PDF exists for this document.
AI Act Part 2,Netherlands: decentralised supervision with RDI as single point of contact and draft implementing law,17 June 2026,national-law,Government of the Netherlands,https://artificialintelligenceact.eu/national-implementation-plans/,403,ok,html,yes,,,"Live tracker page with a per-country table including France's authority designations; HTML only, so a PDF downloader was never going to find anything here."
AI Act Part 2,Questions and answers on general-purpose AI models in the AI Act,9 September 2025,qa,European Commission,https://digital-strategy.ec.europa.eu/en/faqs/general-purpose-ai-models-ai-act-questions-answers,no_pdf_link,ok,html,yes,,,The Q&A content itself is on the page as HTML; matches the title.
AI Act Part 2,Regulation (EU) 2024/1689 laying down harmonised rules on artificial intelligence (AI Act),13 June 2024,regulation,European Parliament and Council,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,no_pdf_link,ok,viewer,yes,,,"Correct EUR-Lex OJ landing page for the AI Act; the full text sits behind a format-selector interface (HTML/PDF/language tabs) that the fetcher did not expand, so no single document URL was extracted."
AI Act Part 2,Regulation (EU) 2026/1744 amending the AI Act (Digital Omnibus on AI),8 July 2026,regulation,European Parliament and Council,https://eur-lex.europa.eu/eli/reg/2026/1744/oj/eng,no_pdf_link,ok,html,yes,,,"Live EUR-Lex OJ page for this regulation; substantive text (adoption date, amended regulations) came through despite the fetcher initially describing it as a bare landing page."
AI Act Part 2,Spain: Spanish Artificial Intelligence Supervisory Agency (AESIA) and the draft AI governance law,17 June 2026,national-law,Government of Spain,https://artificialintelligenceact.eu/national-implementation-plans/,403,ok,html,yes,,,"Live tracker page with a per-country table including France's authority designations; HTML only, so a PDF downloader was never going to find anything here."
AI Act Part 2,The enforcement framework of the AI Act,31 July 2026,policy,European Commission (AI Office),https://digital-strategy.ec.europa.eu/en/policies/enforcement-ai-act,no_pdf_link,ok,html,yes,,,"Substantive explainer text is embedded directly as HTML, no PDF exists for this content."
Cookie Compliance,"Autoriteit Persoonsgegevens, five cookie banner investigations closed after corrections (deceptive banners)",8 April 2025,enforcement,Netherlands,https://www.autoriteitpersoonsgegevens.nl/actueel/foute-cookiebanners-aangepast-na-ingrijpen-ap,no_pdf_link,blocked,unknown,,,,Fetch returned HTTP 403; site is refusing the fetcher.
Cookie Compliance,"CNIL, Deliberation SAN-2020-012: Google LLC and Google Ireland fined 100 million euros for cookies on google.fr",7 December 2020,enforcement,France,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000042635706,403,blocked,unknown,,,,WebFetch returned 403 Forbidden.
Cookie Compliance,"CNIL, Deliberation SAN-2021-023: Google fined 150 million euros because refusing cookies took more clicks than accepting",31 December 2021,enforcement,France,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000044840062,403,blocked,unknown,,,,WebFetch got a 403 from legifrance.gouv.fr; consistent with the downloader's own 403 finding.
Cookie Compliance,"CNIL, Deliberation SAN-2021-024: Facebook Ireland fined 60 million euros over the refusal path on facebook.com",31 December 2021,enforcement,France,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000044840532,403,blocked,unknown,,,,"403 client error on fetch; Legifrance blocked the fetcher, matching the downloader's own hint."
Cookie Compliance,"CNIL, Deliberation SAN-2022-023: Microsoft Ireland Operations fined 60 million euros for cookies on bing.com",19 December 2022,enforcement,France,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000046768989,403,blocked,unknown,,,,403 error from legifrance.gouv.fr; fetch refused.
Cookie Compliance,"Colombia Statutory Law 1581 of 2012 and Decree 1377 of 2013 (prior, express and informed authorisation)",17 October 2012,legislation,Colombia,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=49981,no_pdf_link,blocked,unknown,,,,WebFetch was refused by the site's robots.txt (could not fetch/parse it); could not verify content.
Cookie Compliance,Enunciado CD/ANPD nº 1/2023 on the processing of children's and adolescents' personal data,22 May 2023,regulator guidance,Brazil,https://www.gov.br/anpd/pt-br/assuntos/noticias/anpd-divulga-enunciado-sobre-o-tratamento-de-dados-pessoais-de-criancas-e-adolescentes,other,blocked,unknown,,,,401 client error on fetch; gov.br refused the fetcher.
Cookie Compliance,"Federal Act on Data Protection (FADP, SR 235.1), revised text",1 September 2023,legislation,Switzerland,https://www.fedlex.admin.ch/eli/cc/2022/491/en,no_pdf_link,blocked,viewer,,,,Gateway page demands JavaScript; the actual FADP text is not reachable via a plain fetch.
Cookie Compliance,"Germany, Einwilligungsverwaltungsverordnung (EinwV): regulation on recognised consent management services",1 April 2025,legislation,Germany,https://www.gesetze-im-internet.de/einwv/BJNR0200B0025.html,no_pdf_link,blocked,unknown,,,,"Fetcher refused: robots.txt could not be fetched or parsed, so the fetch was disallowed."
Cookie Compliance,Nigeria Data Protection Act 2023 and NDPC General Application and Implementation Directive 2025,12 June 2023,legislation,Nigeria,https://cert.gov.ng/ngcert/resources/Nigeria_Data_Protection_Act_2023.pdf,403,blocked,unknown,,,,403 fetching the PDF URL directly; site blocks the fetcher.
Cookie Compliance,"Norway, Lov om elektronisk kommunikasjon (ekomloven) section 3-15: cookies require GDPR-standard consent",1 January 2025,legislation,Norway,https://lovdata.no/dokument/NL/lov/2024-12-13-76,no_pdf_link,blocked,unknown,,,,Fetch disallowed by lovdata.no's robots.txt; could not verify content.
Cookie Compliance,OPC Guidelines on privacy and online behavioural advertising,6 December 2011,regulator guidance,Canada,https://www.priv.gc.ca/en/privacy-topics/technology/online-privacy-tracking-cookies/tracking-and-ads/gl_ba_1112/,timeout,blocked,unknown,,,,Fetcher could not fetch/parse the site's robots.txt and was refused; page not reached.
Cookie Compliance,"PDPC Advisory Guidelines on the PDPA for Selected Topics, chapter on online activities (cookies and behavioural targeting)",1 February 2021,regulator guidance,Singapore,https://www.pdpc.gov.sg/guidelines-and-consultation/2020/02/advisory-guidelines-on-the-pdpa-for-selected-topics,404,blocked,unknown,,,,"Fetcher refused: site's robots.txt itself could not be retrieved (HTTP 202), so the fetch was disallowed before reaching the page."
Cookie Compliance,"Personal Data Protection Act 2012, Parts 4 and 9A (consent, deemed consent by notification, legitimate interests, financial penalties)",1 February 2021,legislation,Singapore,https://sso.agc.gov.sg/Act/PDPA2012,403,blocked,unknown,,,,"403 client error, consistent with original why=403; likely bot-blocking on the Singapore statutes portal."
Cookie Compliance,"Personal Data Protection Act B.E. 2562 (2019), sections 19, 23 and 82 to 90",1 June 2022,legislation,Thailand,https://www.pdpc.or.th/,403,blocked,unknown,,,,"WebFetch itself returned a 403 client error; site blocks the fetcher outright, not retried per instructions."
Cookie Compliance,Saudi Arabia Personal Data Protection Law (Royal Decree M/19 as amended by M/148) and Implementing Regulations,14 September 2023,legislation,Saudi Arabia,https://sdaia.gov.sa/en/SDAIA/about/Pages/PDPL.aspx,404,blocked,unknown,,,,"Site's access-control/WAF returns a 'Request Rejected' page with a support ID, not a real 404; content could not be seen."
Cookie Compliance,"Telecommunications Act (TCA, SR 784.10), Article 45c: data on external equipment",1 April 2007,legislation,Switzerland,https://www.fedlex.admin.ch/eli/cc/1997/2187_2187_2187/en,no_pdf_link,blocked,viewer,,,,"Page requires a JavaScript-capable browser; static fetch only returns a multilingual placeholder notice, not the statute text."
Cookie Compliance,"Tennessee Information Protection Act, Tenn. Code Ann. 47-18-3201 et seq. (Public Chapter 408 of 2023)",1 July 2025,legislation,Tennessee,https://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=HB1181&GA=113,other,blocked,unknown,,,,"Tennessee capitol site disallows this path via robots.txt, so the fetcher could not reach it; consistent with the downloader's 'other' failure."
Cookie Compliance,"Brussels Market Court, judgment 2022/AR/292 on IAB Europe's appeal against decision 21/2022",14 May 2025,court decision,Belgium,https://www.dataprotectionauthority.be/citizen/the-market-court-rules-in-the-iab-europe-case,no_pdf_link,fetch_failed,unknown,,,,WebFetch could not retrieve the site's robots.txt (connection timeout); page not fetched.
Cookie Compliance,"Brussels Market Court, judgment 2022/AR/292 on IAB Europe's appeal against decision 21/2022",14 May 2025,court decision,Belgium,https://www.dataprotectionauthority.be/citizen/the-market-court-rules-in-the-iab-europe-case,no_pdf_link,fetch_failed,unknown,,,,WebFetch could not retrieve the site's robots.txt (connection timeout); page not fetched.
Cookie Compliance,"Digital Personal Data Protection Rules, 2025 (consent notice, Consent Managers, verifiable parental consent, phased commencement)",13 November 2025,legislation,India,https://www.meity.gov.in/data-protection-framework,no_pdf_link,fetch_failed,unknown,,,,"Fetched twice; both times returned only meta tags (one referencing a different domain, digifootprint.gov.in) with no readable body, likely a JS-rendered page the fetcher can't execute. Could not confirm content."
Cookie Compliance,"Germany, TDDDG section 25 (Telekommunikation-Digitale-Dienste-Datenschutz-Gesetz, formerly TTDSG): protection of privacy in terminal equipment",14 May 2024,legislation,Germany,https://www.gesetze-im-internet.de/ttdsg/__25.html,no_pdf_link,fetch_failed,unknown,,,,WebFetch errored fetching robots.txt (ConnectTimeout) before it could retrieve the page; not retried per instructions.
Cookie Compliance,Israel Protection of Privacy Law 5741-1981 as amended by Amendment 13,14 August 2025,legislation,Israel,https://www.gov.il/en/departments/the_privacy_protection_authority,403,fetch_failed,unknown,no,,,"URL is the Authority's general department profile page, not the amended-law text, and the fetch also returned only page frontmatter/meta with no visible title or body (likely bot-blocked or JS-only rendering)."
Cookie Compliance,"Landgericht Muenchen I, judgment 3 O 17493/20 on Google Fonts embedded from Google servers",20 January 2022,court decision,Germany,https://www.gesetze-bayern.de/Content/Document/Y-300-Z-GRURRS-B-2022-N-612,no_pdf_link,fetch_failed,unknown,,,,WebFetch's robots.txt check got HTTP 503 from the site; page not fetched.
Cookie Compliance,"Resolução CD/ANPD nº 4/2023, Regulamento de dosimetria e aplicação de sanções administrativas",24 February 2023,legislation,Brazil,https://www.gov.br/anpd/pt-br/assuntos/noticias/anpd-publica-regulamento-de-dosimetria/Resolucaon4CDANPD24.02.2023.pdf,not_pdf,fetch_failed,unknown,,,,URL loops between the https and http forms of the same address (302 back to itself); unresolved after the one allowed retry.
Cookie Compliance,"AB 566, California Opt Me Out Act (Chapter 465, Statutes of 2025), Cal. Civ. Code 1798.136",8 October 2025,legislation,California,https://legiscan.com/CA/bill/AB566/2025,403,listing,html,no,,,"Bill-tracking page (status, history, votes), not the statute text; it links out to the CA legislature site for the actual text. 403 in packet did not reproduce."
Cookie Compliance,"Bill C-36, Protecting Privacy and Consumer Data Act",15 June 2026,proposal,Canada,https://www.parl.ca/LegisInfo/en/bill/45-1/c-36,no_pdf_link,listing,viewer,no,,,"LEGISinfo status/tracker page for the bill, not the bill text; the text is linked out to a separate DocumentViewer HTML page."
Cookie Compliance,"CNIL, Criteo fined 40 million euros for retargeting without proof of consent (upheld by the Conseil d'Etat, decision no. 482872)",15 June 2023,enforcement,France,https://www.edpb.europa.eu/news/national-news/2023/personalised-advertising-french-sa-fined-criteo-eur-40000000_en,no_pdf_link,listing,unknown,no,,,"URL resolved to the generic EDPB news feed (186 items, dated through Sept 2026) rather than the specific Criteo article; page is likely JS-driven and the deep link no longer serves the individual item."
Cookie Compliance,"CNPD (Luxembourg), updated guidelines on cookies and other tracking devices",26 October 2021,regulator guidance,Luxembourg,https://cnpd.public.lu/en/actualites/national/2021/11/lignes-drectrices-cookies.html,no_pdf_link,listing,html,no,,,"This is a short English news blurb saying the guidelines were updated (French only); it links onward to the real guidelines at https://cnpd.public.lu/fr/dossiers-thematiques/cookies0/cookies.html, an HTML page, not this one."
Cookie Compliance,European Commission cookie pledge initiative (draft pledging principles),19 December 2023,proposal,EU,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/cookie-pledge_en,no_pdf_link,listing,html_with_pdf,no,,,"Hub page for the whole Cookie Pledge project linking to several dated PDFs (draft pledging principles, meeting reports, roundtable materials); not a single document and none individually confirmed by URL."
