etid,company,country,year,date,fine_eur,sector,articles,tier,violation_type,authority,turnover_eur,turnover_year,turnover_basis,turnover_source,turnover_origin,is_financial,confidence,index,url,source_url,row_source,articles_raw,eprivacy
ETid-2938,Company,Austria,2025,2025-09-04,870,Not assigned,Art. 33,2%,Insufficient fulfilment of data breach notification obligations,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2938,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=000ac915-afb3-448b-9d57-4ef8821c4f62&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=EinerWoche&ResultPageSize=100&Suchworte=DSGVO&Dokumentnummer=DSBT_20250904_2025_0_699_550_00,powerbi-export-2026-09-20,Art. 33 (3) GDPR,
ETid-2771,Covid 19 Test Lab,Austria,2024,2024-06-06,100000,Health Care,Art. 9|Art. 5|Art. 28|Art. 32|Art. 34,4%,Insufficient technical and organisational measures to ensure information security,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2771,https://dsb.gv.at/sites/site0344/media/downloads/datenschutzbericht_2024.pdf,powerbi-export-2026-09-20,"Art. 9 GDPR, Art. 5 (1) f) GDPR, Art. 28 (3) GDPR, Art. 32 GDPR, Art. 34 GDPR",
ETid-2909,IKEA,Austria,2024,2024-08-16,1500000,Industry and Commerce,Art. 5|Art. 6,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2909,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=5e10f638-03f0-49b1-811e-7f17d3edc03e&Abfrage=Gesamtabfrage&SearchInAsylGH=&SearchInAvn=&SearchInAvsv=&SearchInBegut=&SearchInBgblAlt=&SearchInBgblAuth=&SearchInBgblPdf=&SearchInBks=&SearchInBundesnormen=&SearchInBvb=&SearchInBvwg=&SearchInDok=&SearchInDsk=&SearchInErlaesse=&SearchInGbk=&SearchInGemeinderecht=&SearchInGemeinderechtAuth=&SearchInJustiz=&SearchInKmGer=&SearchInLandesnormen=&SearchInLvwg=&SearchInLgbl=&SearchInLgblNO=&SearchInLgblAuth=&SearchInMrp=&SearchInNormenliste=&SearchInPruefGewO=&SearchInPvak=&SearchInRegV=&SearchInSpg=&SearchInUbas=&SearchInUmse=&SearchInUpts=&SearchInUvs=&SearchInVbl=&SearchInVerg=&SearchInVfgh=&SearchInVwgh=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=&ResultPageSize=100&Suchworte=W258+2299744-1&Dokumentnummer=DSBT_20240816_2023_0_680_196_00,powerbi-export-2026-09-20,"Art. 5 (1) a), c) GDPR, Art. 6 (1) GDPR",
ETid-2950,Journalist,Austria,2025,2025-11-18,80,Individuals and Private Associations,Art. 5|Art. 6,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2950,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=4f4c13fb-72d0-4143-915d-9ef90353be15&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=EinerWoche&ResultPageSize=100&Suchworte=DSGVO&Dokumentnummer=DSBT_20251118_2025_0_902_556_00,powerbi-export-2026-09-20,"Art. 5 (1) a), c) GDPR, Art. 6 (1) GDPR",
ETid-2770,Media Company,Austria,2024,2024-01-02,15200,"Media, Telecoms and Broadcasting",Art. 58,2%,Insufficient cooperation with supervisory authority,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2770,https://dsb.gv.at/sites/site0344/media/downloads/datenschutzbericht_2024.pdf,powerbi-export-2026-09-20,Art. 58 GDPR,
ETid-2979,Media Company,Austria,2025,2025-08-06,6200,"Media, Telecoms and Broadcasting",Art. 58,2%,Insufficient cooperation with supervisory authority,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2979,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=fa7db7ba-344f-428a-9c15-f481c4cf9f4c&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=ZweiWochen&ResultPageSize=100&Suchworte=DSGVO&Dokumentnummer=DSBT_20250806_2025_0_276_820_00,powerbi-export-2026-09-20,Art. 58 (2) d) GDPR,
ETid-3222,Medical Student,Austria,2026,2026-01-12,200,Individuals and Private Associations,Art. 6|Art. 9,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-3222,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=d51723de-dcba-464e-831f-8df9395195c3&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=EinerWoche&ResultPageSize=100&Suchworte=DSGVO&Dokumentnummer=DSBT_20260112_2026_0_016_479_00,powerbi-export-2026-09-20,"Art. 6 (1) f) GDPR, Art. 9 (2) GDPR",
ETid-1788,Operator of a public toilet,Austria,2022,2022-08-23,25000,Not assigned,Art. 5|Art. 6|Art. 13,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-1788,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20220823_2022_0_585_764_00/DSBT_20220823_2022_0_585_764_00.html,powerbi-export-2026-09-20,"Art. 5 (1) a), b), c) GDPR, Art. 6 (1) f) GDPR, Art. 13 GDPR",
ETid-2975,Owner of a Tesla Car,Austria,2025,2025-09-29,600,Individuals and Private Associations,Art. 5|Art. 6|Art. 12|Art. 13,4%,Non-compliance with general data processing principles,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2975,https://dsb.gv.at/sites/site0344/media/downloads/dsb-newsletter_nr._03_25_dezember_2025.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a), c), e) GDPR, Art. 6 (1) GDPR, Art. 12 GDPR, Art. 13 GDPR",
ETid-2130,Phyisician,Austria,2023,2023-09-26,10000,Health Care,Art. 5|Art. 9,4%,Non-compliance with general data processing principles,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2130,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20230629_2023_0_420_407_00/DSBT_20230629_2023_0_420_407_00.html,powerbi-export-2026-09-20,"Art. 5 (1) a), b), c) GDPR, Art. 9 GDPR",
ETid-3,Private car owner,Austria,2018,2018-09-27,300,Individuals and Private Associations,Art. 5|Art. 6,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-3,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20180927_DSB_D550_084_0002_DSB_2018_00/DSBT_20180927_DSB_D550_084_0002_DSB_2018_00.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a) GDPR, Art. 6 GDPR",
ETid-2076,Private individual,Austria,2023,2023-06-16,1000,Individuals and Private Associations,Art. 6,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2076,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20230616_2023_0_404_421_00/DSBT_20230616_2023_0_404_421_00.html,powerbi-export-2026-09-20,"Art. 6 (1), (4) GDPR",
ETid-461,Private individual,Austria,2020,2020-10-19,600,Health Care,Art. 5|Art. 9,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-461,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=f40e6a89-d994-4e49-af4a-fcf3d89c1ccd&Position=1&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ResultPageSize=100&Suchworte=&Dokumentnummer=DSBT_20201019_2020_0_111_488_00,powerbi-export-2026-09-20,"Art. 5 (1) a) GDPR, Art. 9 GDPR",
ETid-462,Private individual,Austria,2020,2020-10-19,150,Individuals and Private Associations,Art. 5|Art. 6,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-462,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=3e78f5a9-f724-41df-a8b6-4f95524b02a4&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.10.2020&BisDatum=03.12.2020&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ResultPageSize=100&Suchworte=&Dokumentnummer=DSBT_20201019_2020_0_550_322_00,powerbi-export-2026-09-20,"Art. 5 (1) a) GDPR, Art. 6 GDPR",
ETid-961,Private individual,Austria,2021,2021-08-05,600,Individuals and Private Associations,Art. 9,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-961,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20210805_2021_0_518_795_00/DSBT_20210805_2021_0_518_795_00.html,powerbi-export-2026-09-20,Art. 9 GDPR,
ETid-4,Private Person,Austria,2018,2018-12-20,2200,Individuals and Private Associations,Art. 5|Art. 6|Art. 13,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-4,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20181220_DSB_D550_037_0003_DSB_2018_00/DSBT_20181220_DSB_D550_037_0003_DSB_2018_00.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR",
ETid-988,REWE International AG,Austria,2022,2022-01-14,8000000,Industry and Commerce,,,Unknown,Austrian Data Protection Authority (dsb),75000000000.0,,legacy,,carried-by-etid,,legacy,0.00010666666666666667,https://www.enforcementtracker.com/ETid-988,https://noe.orf.at/stories/3138575/,powerbi-export-2026-09-20,Unknown,
ETid-3073,Shop Owner,Austria,2025,2025-10-27,1500,Individuals and Private Associations,Art. 5|Art. 6,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-3073,https://www.ris.bka.gv.at/Dokument.wxe?Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=False&SucheNachText=True&GZ=2025-0.811.087&VonDatum=01.01.1990&BisDatum=24.02.2026&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ResultPageSize=100&Suchworte=&Position=1&SkipToDocumentPage=true&ResultFunctionToken=b2c64ac4-c719-4e20-824c-eb362b54a3c6&Dokumentnummer=DSBT_20251027_2025_0_811_087_00,powerbi-export-2026-09-20,"Art. 5 (1) a), c) GDPR, Art. 6 (1) f GDPR",
ETid-2207,Unknown,Austria,2023,2023-12-12,5900,Not assigned,Art. 31|Art. 33,2%,Insufficient fulfilment of data breach notification obligations,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2207,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=74272e2c-c533-401d-8c45-d6f38b2fc36c&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=VerwaltungsstraferkenntnisVerwarnungErmahnung&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=23.02.2024&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ImRisSeitForRemotion=Undefined&ResultPageSize=100&Suchworte=&Dokumentnummer=DSBT_20231212_2023_0_603_142_00,powerbi-export-2026-09-20,"Art. 31 (1) GDPR, Art. 33 (1) GDPR, Art. 33 (3) a), d) GDPR",
ETid-951,Unknown,Austria,2021,2021-02-12,3000,Not assigned,Art. 31,2%,Insufficient cooperation with supervisory authority,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-951,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20210212_2020_0_582_166_00/DSBT_20210212_2020_0_582_166_00.html,powerbi-export-2026-09-20,Art. 31 GDPR,
ETid-792,Unser Ö-Bonus Club GmbH,Austria,2021,2021-08-02,500000,Industry and Commerce,Art. 6|Art. 7|Art. 12,4%,Insufficient legal basis for data processing,Austrian Data Protection Authority (dsb),32210000.0,,legacy,,carried-by-etid,,legacy,0.01552312946289972,https://www.enforcementtracker.com/ETid-792,https://www.heise.de/news/Rewe-wird-fuer-Kunden-Profiling-in-Oesterreich-bestraft-6153577.html,powerbi-export-2026-09-20,"Art. 6 GDPR, Art. 7 GDPR, Art. 12 GPDR",
ETid-2327,Website operator,Austria,2024,2024-01-04,10000,Individuals and Private Associations,Art. 17|Art. 25|Art. 58,4%,Insufficient fulfilment of data subjects rights,Austrian Data Protection Authority (dsb),,,,,,,,,https://www.enforcementtracker.com/ETid-2327,https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=075f68f4-d4e7-455f-b4c1-e20d84f30af1&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=16.05.2024&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=Undefined&ResultPageSize=100&Suchworte=&Dokumentnummer=DSBT_20240104_2023_0_592_319_00,powerbi-export-2026-09-20,"Art. 17 (1) GDPR, Art. 25 (1) GDPR, Art. 58 (2) c) GDPR",
ETid-3112,Accountancy Firm,Belgium,2026,2026-04-23,8500,Employment,Art. 5|Art. 6|Art. 12|Art. 17,4%,Insufficient legal basis for data processing,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-3112,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-86-2026.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 12 (2), (3) GDPR, Art. 17 (1) GDPR",
ETid-1118,Ambuce Rescue Team,Belgium,2022,2022-04-04,20000,Industry and Commerce,Art. 5|Art. 6|Art. 9,4%,Insufficient legal basis for data processing,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-1118,https://www.autoriteprotectiondonnees.be/citoyen/controles-de-temperature-lapd-met-les-aeroports-de-zaventem-et-charleroi-a-lamende,powerbi-export-2026-09-20,"Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR",
ETid-994,Bank,Belgium,2021,2021-12-16,75000,"Finance, Insurance and Consulting",Art. 38,2%,Insufficient involvement of data protection officer,Belgian Data Protection Authority (APD),1878000000.0,,legacy,,carried-by-etid,,legacy,3.9936102236421726e-05,https://www.enforcementtracker.com/ETid-994,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-141-2021.pdf,powerbi-export-2026-09-20,Art. 38 (6) GDPR,
ETid-1905,Belgian Order of Pharmacists,Belgium,2023,2023-06-16,30000,Public Sector and Education,Art. 5,4%,Non-compliance with general data processing principles,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-1905,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-77-2023.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a), b), c), d), e) GDPR",
ETid-2225,Black Tiger Belgium,Belgium,2024,2024-01-16,174640,Industry and Commerce,Art. 5|Art. 6|Art. 12|Art. 14|Art. 15|Art. 24|Art. 25|Art. 30,4%,Insufficient fulfilment of information obligations,Belgian Data Protection Authority (APD),11191832,2022,standalone,NBB filed accounts,carried-by-etid,0,medium,0.015604237090049242,https://www.enforcementtracker.com/ETid-2225,https://www.autoriteprotectiondonnees.be/citoyen/lapd-sanctionne-lentreprise-de-gestion-de-donnees-black-tiger-belgium-pour-manque-de-transparence,powerbi-export-2026-09-20,"Art. 5 GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 15 GDPR Art. 24 GDPR, Art. 25 GDPR, Art. 30 GDPR",
ETid-1117,Brussels Airport Charleroi,Belgium,2022,2022-04-04,100000,Transportation and Energy,Art. 5|Art. 6|Art. 9|Art. 12|Art. 13|Art. 35,4%,Insufficient legal basis for data processing,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-1117,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-47-2022.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a), b) GDPR, Art. 6 (1) c) GDPR, Art. 6 (3) GDPR, Art. 9 (2) i) GDPR, Art. 12 (1) GDPR, Art. 13 (1) c) GDPR, Art. 13 (2) e) GDPR, Art. 35 (1), (7) GDPR",
ETid-1116,Brussels Airport Zaventem,Belgium,2022,2022-04-04,200000,Transportation and Energy,Art. 5|Art. 6|Art. 9|Art. 12|Art. 13|Art. 35,4%,Insufficient legal basis for data processing,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-1116,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-48-2022.pdf,powerbi-export-2026-09-20,"Art. 5 (1) c) GDPR, Art. 6 (1) e) GDPR, Art. 9 (2) g) GDPR, Art. 12 GDPR, Art. 13 (1) c) GDPR, Art. 13 (2) e) GDPR, Art. 35 (1), (3), (7) b) GDPR",
ETid-380,Communal political association,Belgium,2020,2020-07-28,3000,Public Sector and Education,Art. 5|Art. 6|Art. 14,4%,Insufficient legal basis for data processing,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-380,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-39-2020.pdf,powerbi-export-2026-09-20,"Art. 5 GDPR, Art. 6 GDPR, Art. 14 GDPR",
ETid-1121,Company,Belgium,2022,2022-04-01,7500,Employment,Art. 5|Art. 6|Art. 15|Art. 17|Art. 18|Art. 21|Art. 28,4%,Insufficient fulfilment of data subjects rights,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-1121,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-46-2022.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a) GDPR, Art. 6 (1) f) GDPR, Art. 15 GDPR, Art. 17 GDPR, Art. 18 GDPR, Art. 21 GDPR, Art. 28 GDPR",
ETid-1655,Company,Belgium,2022,2022-08-23,2500,Industry and Commerce,Art. 5|Art. 24|Art. 32,4%,Insufficient technical and organisational measures to ensure information security,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-1655,https://edpb.europa.eu/news/national-news/2022/fine-breaching-obligation-ensure-security-personal-data_en,powerbi-export-2026-09-20,"Art. 5 (1) d) GDPR, Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 32 (1), (2) GDPR",
ETid-2613,Company,Belgium,2025,2025-04-22,20000,Industry and Commerce,Art. 5|Art. 6|Art. 12|Art. 14|Art. 15|Art. 24|Art. 25,4%,Non-compliance with general data processing principles,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-2613,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-72-2025.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a), (2) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 14 (1), (2) GDPR, Art. 15 (1) c), d), g), Art. 24 (1) GDPR, Art. 25 (1) GDPR",
ETid-1023,EU DisinfoLab,Belgium,2022,2022-01-27,2800,Individuals and Private Associations,Art. 5|Art. 6|Art. 9|Art. 12|Art. 14|Art. 30|Art. 32|Art. 35,4%,Non-compliance with general data processing principles,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-1023,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-13-2022.pdf,powerbi-export-2026-09-20,"Art. 5 (1) a), c), f) GDPR, Art. 6 (1) GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 30 GDPR, Art. 32 GDPR, Art. 35 GDPR",
ETid-537,Family Service / N.D.P.K. nv.,Belgium,2021,2021-01-27,50000,Industry and Commerce,Art. 5|Art. 6|Art. 7|Art. 13|Art. 24|Art. 25|Art. 28,4%,Insufficient legal basis for data processing,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-537,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-04-2021.pdf,powerbi-export-2026-09-20,"Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 13 GDPR, Art. 24 GDPR, Art. 25 GDPR, Art. 28 GDPR",
ETid-664,Financial company,Belgium,2021,2021-04-26,100000,"Finance, Insurance and Consulting",Art. 5|Art. 32,4%,Insufficient technical and organisational measures to ensure information security,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-664,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-56-2021.pdf,powerbi-export-2026-09-20,"Art. 5 (1) f) GDPR, Art. 32 GDPR",
ETid-403,Former mayor of a community,Belgium,2020,2020-09-07,5000,Public Sector and Education,Art. 5|Art. 6,4%,Insufficient legal basis for data processing,Belgian Data Protection Authority (APD),,,,,,,,,https://www.enforcementtracker.com/ETid-403,https://www.gegevensbeschermingsautoriteit.be/publications/beslissing-ten-gronde-nr.-53-2020.pdf,powerbi-export-2026-09-20,"Art. 5 GDPR, Art. 6 GDPR",
