Date,Type,Title,Rating (R relevant / B background / N not relevant),Where it lands on the site,URL
10 February 2026,Opinion of the Board (Art. 64),Opinion 5/2026 on the draft decision of the Dutch Supervisory Authority regarding the Processor Binding Corporate Rules of the Arcadis Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-52026-on-the-draft-decision-of-the-dutch-supervisory_en
05 February 2026,Opinion of the Board (Art. 64),Opinion 3/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the FrieslandCampina Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-32026-on-the-draft-decision-of-the-dutch-supervisory_en
05 February 2026,Opinion of the Board (Art. 64),Opinion 4/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the ABB Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-42026-on-the-draft-decision-of-the-dutch-supervisory_en
05 February 2026,Opinion of the Board (Art. 64),Opinion 2/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the AkzoNobel Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-22026-on-the-draft-decision-of-the-dutch-supervisory_en
05 February 2026,Opinion of the Board (Art. 64),Opinion 1/2026 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Heineken Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-12026-on-the-draft-decision-of-the-dutch-supervisory_en
02 February 2026,Support Pool of Experts,Report on International Data Protection Enforcement Cooperation,N,,https://www.edpb.europa.eu/documents/support-pool-of-experts/report-on-international-data-protection-enforcement-cooperation_en
23 January 2026,Other guidance,EU-U.S. Data Privacy Framework F.A.Q. for European businesses - version 2.0,R,Privacy Assessment DPF factor,https://www.edpb.europa.eu/documents/other-guidance/eu-us-data-privacy-framework-faq-for-european-businesses-version-20_en
23 January 2026,Procedure,"Rules of Procedure for the ""Informal Panel of EU DPAs"" according to the EU-U.S. Data Privacy Framework - version 2.0",N,EDPB internal procedure,https://www.edpb.europa.eu/documents/procedure/rules-of-procedure-for-the-informal-panel-of-eu-dpas-according-to-the-eu-us-0_en
23 January 2026,Other guidance,EU-US Data Privacy Framework FAQ for European individuals - version 2.0,B,Transfers,https://www.edpb.europa.eu/documents/other-guidance/eu-us-data-privacy-framework-faq-for-european-individuals-version-20_en
22 January 2026,Other guidance,EU-US Data Privacy Framework Template Complaint Form for Submitting Complaints to EU DPAs related to the Data Privacy Framework Principles - version 2.0,N,,https://www.edpb.europa.eu/documents/other-guidance/eu-us-data-privacy-framework-template-complaint-form-for-submitting_en
22 January 2026,Procedure,EDPB Document setting forth a Cooperation Procedure for the Authorisation of Contractual Clauses under Article 46(3)(a) GDPR and for the Adoption of Standard Contractual Clauses under Article 46(2)(d) GDPR,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/procedure/edpb-document-setting-forth-a-cooperation-procedure-for-the-authorisation-of_en
21 January 2026,Legislative opinion,EDPB-EDPS Joint opinion 1/2026 on the Proposal for a Regulation as regards the simplification of the implementation of harmonised rules on artificial intelligence (Digital Omnibus on AI),R,"AI Omnibus: AI Act sections 7, 8",https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-12026-on-the-proposal-for-a-regulation-as_en
19 January 2026,Other policy document,Contribution of the EDPB to the European Commission's evaluation of the Data Protection Law Enforcement Directive (''LED'') under Article 62 LED,N,,https://www.edpb.europa.eu/documents/other-policy-document/contribution-of-the-edpb-to-the-european-commissions-evaluation-of_en
02 December 2025,Internal procedural guidance,EDPB Best practices for the organisation of EDPB Plenary meetings,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/internal-procedural-guidance/edpb-best-practices-for-the-organisation-of-edpb-plenary-0_en
02 December 2025,Opinion of the Board (Art. 64),Opinion 33/2025 on the draft decision of the Irish Supervisory Authority regarding the Processor Binding Corporate Rules of the CSG Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-332025-on-the-draft-decision-of-the-irish-supervisory_en
02 December 2025,Internal document,Internal EDPB Document 3/2019 on internal guidance on Article 64(2) GDPR - version 2,N,EDPB internal procedure,https://www.edpb.europa.eu/documents/internal-document/internal-edpb-document-32019-on-internal-guidance-on-article-642-gdpr_en
02 December 2025,Opinion of the Board (Art. 64),Opinion 32/2025 on the draft decision of the Irish Supervisory Authority regarding the Controller Binding Corporate Rules of the CSG Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-322025-on-the-draft-decision-of-the-irish-supervisory_en
02 December 2025,Opinion of the Board (Art. 64),Opinion 30/2025 on the draft decision of the Dutch Supervisory Authority regarding the Processor Binding Corporate Rules of the Illumina Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-302025-on-the-draft-decision-of-the-dutch-supervisory_en
02 December 2025,Opinion of the Board (Art. 64),Opinion 31/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Arcadis Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-312025-on-the-draft-decision-of-the-dutch-supervisory_en
02 December 2025,Opinion of the Board (Art. 64),Opinion 29/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Illumina Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-292025-on-the-dutch-supervisory_en
02 December 2025,Opinion of the Board (Art. 64),Opinion 34/2025 on the draft decision of the Greek Supervisory Authority regarding C.E.C.L certification criteria,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-342025-on-the-greek-supervisory_en
04 November 2025,Adequacy,Opinion 28/2025 regarding the European Commission Draft Implementing Decision pursuant to Regulation (EU) 2016/679 on the adequate protection of personal data by Brazil,B,Adequacy opinions: the resulting decisions feed the Privacy Assessment transfer safeguards list,https://www.edpb.europa.eu/documents/adequacy/opinion-282025-regarding-the-european-commission-draft-implementing-decision_en
20 October 2025,Support Pool of Experts,The Digital Euro and its token-based offline modality,N,,https://www.edpb.europa.eu/documents/support-pool-of-experts/the-digital-euro-and-its-token-based-offline-modality_en
16 October 2025,Adequacy,Opinion 26/2025 regarding the European Commission Draft Implementing Decision pursuant to Regulation (EU) 2016/679 on the adequate protection of personal data by the United Kingdom,B,Adequacy opinions: the resulting decisions feed the Privacy Assessment transfer safeguards list,https://www.edpb.europa.eu/documents/adequacy/opinion-262025-regarding-the-european-commission-draft-implementing-decision_en
16 October 2025,Adequacy,Opinion 27/2025 regarding the European Commission Draft Implementing Decision pursuant to Directive (EU) 2016/680 on the adequate protection of personal data by the United Kingdom,B,Adequacy opinions: the resulting decisions feed the Privacy Assessment transfer safeguards list,https://www.edpb.europa.eu/documents/adequacy/opinion-272025-regarding-the-european-commission-draft-implementing-decision_en
07 October 2025,Opinion of the Board (Art. 64),Opinion 23/2025 on the draft decision of the French Supervisory Authority regarding the Controller Binding Corporate Rules of the Tessi Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-232025-on-the-draft-decision-of-the-french_en
07 October 2025,Opinion of the Board (Art. 64),Opinion 24/2025 on the decision of the Polish Supervisory Authority regarding the Controller Binding Corporate Rules of the BOX Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-242025-on-the-decision-of-the-polish-supervisory_en
07 October 2025,Opinion of the Board (Art. 64),Opinion 25/2025 on the decision of the Polish Supervisory Authority regarding the Processor Binding Corporate Rules of the BOX Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-252025-on-the-decision-of-the-polish-supervisory_en
11 September 2025,Opinion of the Board (Art. 64),Opinion 18/2025 on the draft decision of the Irish Supervisory Authority regarding the Processor Binding Corporate Rules of the Shopify Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-182025-on-the-draft-decision-of-the-irish-supervisory_en
11 September 2025,Opinion of the Board (Art. 64),Opinion 22/2025 on the draft decision of the Luxembourg Supervisory Authority regarding the Controller Binding Corporate Rules of the Ferrero Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-222025-on-the-draft-decision-of-the-luxembourg_en
11 September 2025,Opinion of the Board (Art. 64),Opinion 20/2025 on the draft decision of the Luxembourg Supervisory Authority regarding the Processor Binding Corporate Rules of the Northern Trust Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-202025-on-the-draft-decision-of-the-luxembourg_en
11 September 2025,Opinion of the Board (Art. 64),Opinion 17/2025 on the draft decision of the Irish Supervisory Authority regarding the Controller Binding Corporate Rules of the Shopify Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-172025-on-the-draft-decision-of-the-irish-supervisory_en
11 September 2025,Opinion of the Board (Art. 64),Opinion 21/2025 on the draft decision of the Norwegian Supervisory Authority regarding the Controller Binding Corporate Rules of the Mowi Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-212025-on-the-draft-decision-of-the-norwegian_en
11 September 2025,Opinion of the Board (Art. 64),Opinion 19/2025 on the draft decision of the Luxembourg Supervisory Authority regarding the Controller Binding Corporate Rules of the Northern Trust Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-192025-on-the-draft-decision-of-the-luxembourg_en
22 July 2025,Other policy document,EDPB contribution to the EBA public consultation on draft regulatory technical standards on AML/CFT,N,,https://www.edpb.europa.eu/documents/other-policy-document/edpb-contribution-to-the-eba-public-consultation-on-draft_en
14 July 2025,Opinion of the Board (Art. 64),Opinion 13/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Aramex Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-132025-on-the-draft-decision-of-the-dutch-supervisory_en
14 July 2025,Opinion of the Board (Art. 64),Opinion 16/2025 regarding the draft decision of the German North Rhine Westphalia Supervisory Authority regarding Trusted Site Data Privacy (TÜV IT) certification criteria,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-162025-regarding-the-draft-decision-of-the-german_en
14 July 2025,"Reports, statements, and letters",Statement 4/2025 on the European Commission's Recommendation on draft non-binding model contractual terms on data sharing under the Data Act,N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/statement-42025-on-the-european-commissions-recommendation_en
14 July 2025,Opinion of the Board (Art. 64),Opinion 15/2025 on the draft decision of the Austrian Supervisory Authority (AT SA) regarding the certification criteria of BDO Consulting GmbH,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-152025-on-the-draft-decision-of-the-austrian_en
10 July 2025,Opinion of the Board (Art. 64),Opinion 14/2025 on the draft decision of the Norwegian Supervisory Authority regarding the Controller Binding Corporate Rules of the Wilh. Wilhelmsen Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-142025-on-the-draft-decision-of-the-norwegian_en
09 July 2025,Legislative opinion,"EDPB-EDPS Joint Opinion 01/2025 on the Proposal for a Regulation on simplification measures for SMEs and SMCs, in particular the record-keeping obligation under Art. 30(5) GDPR",B,Art 30 threshold history,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-012025-on-the-proposal-for-a-regulation-on_en
03 July 2025,"Reports, statements, and letters","The Helsinki Statement on enhanced clarity, support and engagement",N,,https://www.edpb.europa.eu/documents/reports-statements-and-letters/the-helsinki-statement-on-enhanced-clarity-support-and_en
25 June 2025,Other policy document,EDPB comments on European Commission's Guidelines on Art. 28 DSA,N,,https://www.edpb.europa.eu/documents/other-policy-document/edpb-comments-on-european-commissions-guidelines-on-art-28-dsa_en
06 June 2025,Opinion of the Board (Art. 64),Opinion 12/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the ASML Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-122025-on-the-draft-decision-of-the-dutch-supervisory_en
06 June 2025,Opinion of the Board (Art. 64),Opinion 11/2025 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of the Signify Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-112025-on-the-draft-decision-of-the-dutch-supervisory_en
05 June 2025,Guideline,Guidelines 02/2024 on Article 48 GDPR,R,Topic 12: third-country authority orders are not a transfer basis on their own,https://www.edpb.europa.eu/documents/guideline/guidelines-022024-on-article-48-gdpr_en
05 June 2025,Support Pool of Experts,Fundamentals of Secure AI Systems with Personal Data,B,TPSA AI/ML supplement,https://www.edpb.europa.eu/documents/support-pool-of-experts/fundamentals-of-secure-ai-systems-with-personal-data_en
05 June 2025,Support Pool of Experts,Law & Compliance in AI Security & Data Protection,B,AI Risk tool,https://www.edpb.europa.eu/documents/support-pool-of-experts/law-compliance-in-ai-security-data-protection_en
21 May 2025,Opinion of the Board (Art. 64),Opinion 8/2025 on the draft decision of the Norwegian Supervisory Authority regarding the Controller Binding Corporate Rules of the Statkraft Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-82025-on-the-draft-decision-of-the-norwegian_en
21 May 2025,Opinion of the Board (Art. 64),Opinion 9/2025 on the draft decision of the French Supervisory Authority regarding the Processor Binding Corporate Rules of the Worldline Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-92025-on-the-draft-decision-of-the-french-supervisory_en
21 May 2025,Opinion of the Board (Art. 64),Opinion 10/2025 on the draft decision of the French Supervisory Authority regarding the Controller Binding Corporate Rules of the Worldline Group,N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-102025-on-the-draft-decision-of-the-french_en
06 May 2025,Adequacy,Opinion 07/2025 regarding the European Commission Draft Implementing Decision pursuant to Regulation (EU) 2016/679 on the adequate protection of personal data by the European Patent Organisation,B,Adequacy opinions: the resulting decisions feed the Privacy Assessment transfer safeguards list,https://www.edpb.europa.eu/documents/adequacy/opinion-072025-regarding-the-european-commission-draft-implementing-decision_en
06 May 2025,Adequacy,Opinion 06/2025 regarding the extension of the European Commission Implementing Decisions under the GDPR and the LED on the adequate protection of personal data in the United Kingdom,B,Adequacy opinions: the resulting decisions feed the Privacy Assessment transfer safeguards list,https://www.edpb.europa.eu/documents/adequacy/opinion-062025-regarding-the-extension-of-the-european-commission-implementing_en
23 April 2025,"Reports, statements, and letters",EDPB Annual Report 2024,N,Institutional report,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-annual-report-2024_en
14 April 2025,Opinion of the Board (Art. 64),"Opinion 3/2025 on the draft decision of the French Supervisory Authority (FR SA) regarding the ""Lexing GDPR certification criteria""",N,"Routine Art 64 opinion (BCRs, accreditation, certification, national DPIA lists, codes, SCCs)",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-32025-on-the-draft-decision-of-the-french-supervisory_en
