Group,Group link,Date,Issuer,Type,Status,Title,Articles concerned,Topics,Document URL,Digest entry link
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,19 June 2025,Medical Device Coordination Group with the AI Board,qa,final,MDCG 2025-6: Interplay between the MDR/IVDR and the AI Act,"Art 6(1), Art 8, Art 43, Annex I","high-risk-classification, conformity",https://health.ec.europa.eu/medical-devices-sector/new-regulations/guidance-mdcg-endorsed-documents-and-other-guidance_en,https://simeonatanasov.com/ai-act-digest.html#doc-36
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,7 August 2026,European Commission,qa,final,Navigating the AI Act: questions and answers,"Art 6, Art 51, Art 99, Art 113","scope, penalties, governance",https://digital-strategy.ec.europa.eu/en/faqs/navigating-ai-act,https://simeonatanasov.com/ai-act-digest.html#doc-24
Commission guidelines and Q&As,https://simeonatanasov.com/ai-act-digest.html#ai-commission-guidelines-and-q-as,9 September 2025,European Commission,qa,final,Questions and answers on general-purpose AI models in the AI Act,"Art 51-55, Art 91-93, Art 101","gpai, enforcement",https://digital-strategy.ec.europa.eu/en/faqs/general-purpose-ai-models-ai-act-questions-answers,https://simeonatanasov.com/ai-act-digest.html#doc-12
Codes of practice and templates,https://simeonatanasov.com/ai-act-digest.html#ai-codes-of-practice-and-templates,10 June 2026,"European Commission (AI Office), drafted by independent experts",code-of-practice,voluntary,Code of Practice on transparency of AI-generated content (marking and labelling),"Art 50(2), Art 50(4), Art 50(5)","transparency, provider-duties, deployer-duties",https://digital-strategy.ec.europa.eu/en/policies/code-practice-ai-generated-content,https://simeonatanasov.com/ai-act-digest.html#doc-17
Codes of practice and templates,https://simeonatanasov.com/ai-act-digest.html#ai-codes-of-practice-and-templates,26 September 2025,European Commission (AI Office),template,draft,Draft guidance and reporting template on serious AI incidents,"Art 73, Art 3(49)","incidents, provider-duties",https://digital-strategy.ec.europa.eu/en/consultations/ai-act-commission-issues-draft-guidance-and-reporting-template-serious-ai-incidents-and-seeks,https://simeonatanasov.com/ai-act-digest.html#doc-16
Codes of practice and templates,https://simeonatanasov.com/ai-act-digest.html#ai-codes-of-practice-and-templates,10 August 2026,European Commission (AI Office),template,voluntary,EU icons for labelling AI-generated content,Art 50(4),"transparency, deployer-duties",https://digital-strategy.ec.europa.eu/en/policies/eu-icons-labelling-ai-generated-content,https://simeonatanasov.com/ai-act-digest.html#doc-20
Codes of practice and templates,https://simeonatanasov.com/ai-act-digest.html#ai-codes-of-practice-and-templates,24 July 2025,European Commission (AI Office),template,final,Explanatory notice and template for the public summary of training content of GPAI models,Art 53(1)(d),"gpai, transparency, data",https://digital-strategy.ec.europa.eu/en/library/explanatory-notice-and-template-public-summary-training-content-general-purpose-ai-models,https://simeonatanasov.com/ai-act-digest.html#doc-11
Codes of practice and templates,https://simeonatanasov.com/ai-act-digest.html#ai-codes-of-practice-and-templates,10 July 2025,"European Commission (AI Office), drafted by independent experts",code-of-practice,voluntary,General-Purpose AI Code of Practice and list of signatories,"Art 53, Art 55, Art 56","gpai, provider-duties",https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,https://simeonatanasov.com/ai-act-digest.html#doc-10
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,25 September 2024,European Commission (AI Office),policy,voluntary,AI Pact: collaborative network and voluntary pledges,"Art 4, Art 62, Art 95","literacy, governance, other",https://digital-strategy.ec.europa.eu/en/policies/ai-pact,https://simeonatanasov.com/ai-act-digest.html#doc-29
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,8 October 2025,European Commission,policy,final,Apply AI Strategy and AI in Science Strategy,"Art 57, Art 62","sandboxes, governance, other",https://commission.europa.eu/news-and-media/news/keeping-european-industry-and-science-forefront-ai-2025-10-08_en,https://simeonatanasov.com/ai-act-digest.html#doc-30
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,1 June 2026,European Commission (AI Office),policy,final,Appointment of the Scientific Panel of independent experts and the Advisory Forum,"Art 67, Art 68, Art 90","governance, gpai",https://digital-strategy.ec.europa.eu/en/news/ai-act-enforcement-gets-independent-expert-support,https://simeonatanasov.com/ai-act-digest.html#doc-31
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,9 July 2026,European Commission and European Artificial Intelligence Board,policy,final,Commission Opinion and AI Board adequacy assessment of the transparency Code of Practice,"Art 50, Art 56","transparency, governance",https://digital-strategy.ec.europa.eu/en/library/commission-opinion-assessment-code-practice-transparency-ai-generated-content,https://simeonatanasov.com/ai-act-digest.html#doc-18
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,19 November 2025,European Commission,policy,historical,Commission proposal COM(2025) 836 for a Digital Omnibus on AI,"Art 4, Art 6, Art 49, Art 113","governance, high-risk-classification",https://digital-strategy.ec.europa.eu/en/library/digital-omnibus-ai-regulation-proposal,https://simeonatanasov.com/ai-act-digest.html#doc-06
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,7 May 2026,Council of the European Union,policy,historical,Council press release: Council and Parliament agree to simplify and streamline AI rules,"Art 5, Art 57, Art 111, Art 113","governance, high-risk-classification",https://www.consilium.europa.eu/en/press/press-releases/2026/05/07/artificial-intelligence-council-and-parliament-agree-to-simplify-and-streamline-rules/,https://simeonatanasov.com/ai-act-digest.html#doc-03
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,29 June 2026,Council of the European Union,policy,historical,Council press release: Council gives final green light to simplified AI rules,"Art 5, Art 57, Art 113","governance, high-risk-classification",https://www.consilium.europa.eu/en/press/press-releases/2026/06/29/artificial-intelligence-council-gives-final-green-light-to-simplify-and-streamline-rules/,https://simeonatanasov.com/ai-act-digest.html#doc-04
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,24 January 2024,European Commission,policy,in force,European AI Office and Commission Decision C(2024) 390 establishing it,"Art 64, Art 74-75, Art 88-94","governance, gpai, enforcement",https://digital-strategy.ec.europa.eu/en/policies/ai-office,https://simeonatanasov.com/ai-act-digest.html#doc-33
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,10 September 2024,European Commission (AI Office secretariat) and Member States,policy,in force,European Artificial Intelligence Board,"Art 65, Art 66, Art 4(3)",governance,https://digital-strategy.ec.europa.eu/en/policies/ai-board,https://simeonatanasov.com/ai-act-digest.html#doc-34
"Governance, enforcement and policy",https://simeonatanasov.com/ai-act-digest.html#ai-governance-enforcement-and-policy,31 July 2026,European Commission (AI Office),policy,final,The enforcement framework of the AI Act,"Art 70, Art 74-75, Art 85-88, Art 99-101","enforcement, penalties, governance",https://digital-strategy.ec.europa.eu/en/policies/enforcement-ai-act,https://simeonatanasov.com/ai-act-digest.html#doc-25
Standards,https://simeonatanasov.com/ai-act-digest.html#ai-standards,22 May 2023,European Commission,standards,in force,AI Act standardisation: standardisation request C(2023)3215 as amended by C(2025)3871,"Art 40, Art 41, Art 8-15, Art 17","standards, conformity",https://digital-strategy.ec.europa.eu/en/policies/ai-act-standardisation,https://simeonatanasov.com/ai-act-digest.html#doc-27
Standards,https://simeonatanasov.com/ai-act-digest.html#ai-standards,9 July 2026,CEN-CENELEC JTC 21,standards,draft,CEN-CENELEC JTC 21 news: EN 18286 and the AI Act standards programme,"Art 17, Art 40, Art 9-15","standards, conformity",https://jtc21.eu/category/news/,https://simeonatanasov.com/ai-act-digest.html#doc-28
EDPB and EDPS,https://simeonatanasov.com/ai-act-digest.html#ai-edpb-and-edps,8 July 2026,European Data Protection Board,edpb-edps,consultation,EDPB Guidelines 02/2026 on anonymisation,"Art 10, Art 59, Art 2(7)",data,https://www.edpb.europa.eu/news/edpb-sheds-light-on-anonymisation-and-web-scraping-for-generative-ai-and-adopts-final-version_en,https://simeonatanasov.com/ai-act-digest.html#doc-43
EDPB and EDPS,https://simeonatanasov.com/ai-act-digest.html#ai-edpb-and-edps,8 July 2026,European Data Protection Board,edpb-edps,consultation,EDPB Guidelines 03/2026 on web scraping for the development of generative AI models,"Art 53(1)(c), Art 10, Art 2(7)","data, gpai",https://www.edpb.europa.eu/news/edpb-sheds-light-on-anonymisation-and-web-scraping-for-generative-ai-and-adopts-final-version_en,https://simeonatanasov.com/ai-act-digest.html#doc-42
EDPB and EDPS,https://simeonatanasov.com/ai-act-digest.html#ai-edpb-and-edps,18 December 2024,European Data Protection Board,edpb-edps,final,EDPB Opinion 28/2024 on certain data protection aspects related to the processing of personal data in the context of AI models,"Art 10, Art 53, Art 2(7)","data, gpai",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-282024-on-certain-data-protection-aspects-related-to_en,https://simeonatanasov.com/ai-act-digest.html#doc-37
EDPB and EDPS,https://simeonatanasov.com/ai-act-digest.html#ai-edpb-and-edps,23 May 2024,European Data Protection Board,edpb-edps,final,EDPB Report of the work undertaken by the ChatGPT Taskforce,"Art 53, Art 2(7)","data, gpai",https://www.edpb.europa.eu/our-work-tools/our-documents/other/report-work-undertaken-chatgpt-taskforce_en,https://simeonatanasov.com/ai-act-digest.html#doc-44
EDPB and EDPS,https://simeonatanasov.com/ai-act-digest.html#ai-edpb-and-edps,16 July 2024,European Data Protection Board,edpb-edps,final,EDPB Statement 3/2024 on data protection authorities' role in the Artificial Intelligence Act framework,"Art 70, Art 74(8), Art 77","governance, enforcement",https://www.edpb.europa.eu/our-work-tools/our-documents/statements/statement-32024-data-protection-authorities-role-artificial-intelligence-act-framework_en,https://simeonatanasov.com/ai-act-digest.html#doc-38
EDPB and EDPS,https://simeonatanasov.com/ai-act-digest.html#ai-edpb-and-edps,10 April 2025,"European Data Protection Board (Support Pool of Experts), author Isabel Barbera",edpb-edps,reference,EDPB Support Pool of Experts report: AI Privacy Risks and Mitigations in Large Language Models,"Art 9, Art 10, Art 26, Art 53","data, gpai, deployer-duties",https://www.edpb.europa.eu/system/files/2025-04/ai-privacy-risks-and-mitigations-in-llms.pdf,https://simeonatanasov.com/ai-act-digest.html#doc-41
EDPB and EDPS,https://simeonatanasov.com/ai-act-digest.html#ai-edpb-and-edps,20 January 2026,European Data Protection Board and European Data Protection Supervisor,edpb-edps,final,EDPB-EDPS Joint Opinion 1/2026 on the proposal for a Digital Omnibus on AI,"Art 4a, Art 10(5), Art 74, Art 49","data, governance",https://www.edpb.europa.eu/our-work-tools/our-documents/edpbedps-joint-opinion/edpb-edps-joint-opinion-12026-proposal-regulation-regards_en,https://simeonatanasov.com/ai-act-digest.html#doc-40
EDPB and EDPS,https://simeonatanasov.com/ai-act-digest.html#ai-edpb-and-edps,18 June 2021,European Data Protection Board and European Data Protection Supervisor,edpb-edps,historical,EDPB-EDPS Joint Opinion 5/2021 on the proposal for an Artificial Intelligence Act,"Art 5, Art 70, Art 2(7)","prohibitions, governance",https://www.edpb.europa.eu/our-work-tools/our-documents/edpbedps-joint-opinion/edpb-edps-joint-opinion-52021-proposal_en,https://simeonatanasov.com/ai-act-digest.html#doc-39
EDPB and EDPS,https://simeonatanasov.com/ai-act-digest.html#ai-edpb-and-edps,3 June 2024,European Data Protection Supervisor,edpb-edps,final,"EDPS orientations on generative AI for EU institutions, bodies, offices and agencies","Art 2(7), Art 26, Art 4","data, deployer-duties, gpai",https://www.edps.europa.eu/data-protection/our-work/publications/guidelines/2024-06-03-first-edps-orientations-eu-institutions-using-generative-ai_en,https://simeonatanasov.com/ai-act-digest.html#doc-45
National implementation,https://simeonatanasov.com/ai-act-digest.html#ai-national-implementation,17 June 2026,Government of France,national-law,draft,France: DGCCRF as coordinating authority and single point of contact under a pending legislative proposal,"Art 70, Art 77","governance, enforcement",https://artificialintelligenceact.eu/national-implementation-plans/,https://simeonatanasov.com/ai-act-digest.html#doc-52
National implementation,https://simeonatanasov.com/ai-act-digest.html#ai-national-implementation,29 July 2026,Bundesnetzagentur (Germany),national-law,in force,Germany: KI-Marktueberwachungs- und Innovationsunterstuetzungsgesetz (KI-MIG) and Bundesnetzagentur designation,"Art 70, Art 57, Art 99","governance, enforcement, sandboxes",https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/EN/2026/20260729_KI_VO.html,https://simeonatanasov.com/ai-act-digest.html#doc-47
National implementation,https://simeonatanasov.com/ai-act-digest.html#ai-national-implementation,17 June 2026,Government of Ireland,national-law,in force,Ireland: S.I. No. 366 of 2025 and the designated competent authorities,"Art 70, Art 28, Art 77","governance, enforcement",https://artificialintelligenceact.eu/national-implementation-plans/,https://simeonatanasov.com/ai-act-digest.html#doc-50
National implementation,https://simeonatanasov.com/ai-act-digest.html#ai-national-implementation,10 October 2025,Italian Parliament,national-law,in force,Italy: Law No. 132/2025 on artificial intelligence,"Art 70, Art 57, Art 99","governance, enforcement",https://artificialintelligenceact.eu/national-implementation-plans/,https://simeonatanasov.com/ai-act-digest.html#doc-48
National implementation,https://simeonatanasov.com/ai-act-digest.html#ai-national-implementation,17 June 2026,Government of the Netherlands,national-law,draft,Netherlands: decentralised supervision with RDI as single point of contact and draft implementing law,"Art 70, Art 74(8), Art 77","governance, enforcement",https://artificialintelligenceact.eu/national-implementation-plans/,https://simeonatanasov.com/ai-act-digest.html#doc-51
National implementation,https://simeonatanasov.com/ai-act-digest.html#ai-national-implementation,17 June 2026,Government of Spain,national-law,draft,Spain: Spanish Artificial Intelligence Supervisory Agency (AESIA) and the draft AI governance law,"Art 70, Art 57, Art 99","governance, enforcement, sandboxes",https://artificialintelligenceact.eu/national-implementation-plans/,https://simeonatanasov.com/ai-act-digest.html#doc-49
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,8 October 2025,European Commission (AI Office),reference-tool,reference,AI Act Service Desk and Single Information Platform,Art 62(3),"other, governance",https://ai-act-service-desk.ec.europa.eu/en,https://simeonatanasov.com/ai-act-digest.html#doc-21
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,8 October 2025,European Commission (AI Office),reference-tool,reference,AI Act Service Desk explorer and compliance checker (Article 99 page with Omnibus notice),"Art 99, Art 101","penalties, other",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-99,https://simeonatanasov.com/ai-act-digest.html#doc-57
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,27 July 2026,European Commission (AI Office),reference-tool,reference,AI Act Service Desk: timeline for the implementation of the EU AI Act,"Art 113, Art 111, Art 57","governance, high-risk-classification",https://ai-act-service-desk.ec.europa.eu/en/ai-act/timeline/timeline-implementation-eu-ai-act,https://simeonatanasov.com/ai-act-digest.html#doc-22
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,31 July 2026,European Commission (AI Office),reference-tool,reference,"AI Act complaints tool, whistleblower tool and downstream provider channel","Art 85, Art 87, Art 89(2)","enforcement, governance",https://digital-strategy.ec.europa.eu/en/policies/ai-act-complaints-tool,https://simeonatanasov.com/ai-act-digest.html#doc-26
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,27 July 2026,Future of Life Institute,reference-tool,reference,AI Act implementation timeline (artificialintelligenceact.eu),"Art 113, Art 111, Art 112, Art 97","governance, other",https://artificialintelligenceact.eu/implementation-timeline/,https://simeonatanasov.com/ai-act-digest.html#doc-54
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,3 July 2025,Future of Life Institute,reference-tool,reference,EU AI Act Compliance Checker (artificialintelligenceact.eu),"Art 2, Art 5, Art 6, Art 51","scope, high-risk-classification",https://artificialintelligenceact.eu/assessment/eu-ai-act-compliance-checker/,https://simeonatanasov.com/ai-act-digest.html#doc-55
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,27 July 2026,Future of Life Institute,reference-tool,reference,EU AI Act Explorer (artificialintelligenceact.eu),"Art 1-113, Annex I-XIV","other, scope",https://artificialintelligenceact.eu/ai-act-explorer/,https://simeonatanasov.com/ai-act-digest.html#doc-53
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,20 June 2026,European Parliament,reference-tool,reference,European Parliament legislative train: Digital Omnibus on AI,Art 113,"governance, other",https://www.europarl.europa.eu/legislative-train/package-digital-package/file-digital-omnibus-on-ai,https://simeonatanasov.com/ai-act-digest.html#doc-05
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,7 September 2026,European Commission (AI Office),reference-tool,reference,Market surveillance authorities and single points of contact under the AI Act,"Art 70, Art 74, Art 77","enforcement, governance",https://digital-strategy.ec.europa.eu/en/policies/market-surveillance-authorities-under-ai-act,https://simeonatanasov.com/ai-act-digest.html#doc-35
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,17 June 2026,Future of Life Institute (artificialintelligenceact.eu),reference-tool,reference,National implementation plans and authorities overview (all Member States),"Art 70, Art 77, Art 99","governance, enforcement",https://artificialintelligenceact.eu/national-implementation-plans/,https://simeonatanasov.com/ai-act-digest.html#doc-46
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,27 July 2026,European Commission (AI Office),reference-tool,reference,Repository of AI literacy practices (living repository),Art 4,literacy,https://digital-strategy.ec.europa.eu/en/policies/ai-literacy-practices,https://simeonatanasov.com/ai-act-digest.html#doc-14
Reference tools,https://simeonatanasov.com/ai-act-digest.html#ai-reference-tools,21 July 2025,Future of Life Institute,reference-tool,reference,Standard setting overview (artificialintelligenceact.eu),"Art 40, Art 41, Art 8-15","standards, conformity",https://artificialintelligenceact.eu/standard-setting-overview/,https://simeonatanasov.com/ai-act-digest.html#doc-56
