Digest,Entry,Title,Source page,PDF to download,Link source,Verification verdict,Note
Cookie Compliance,cookie-192,"FDPIC Guidelines on data processing using cookies and similar technologies, version 1.1",https://www.edoeb.admin.ch/en/guidelines-on-data-processing-using-cookies,https://www.edoeb.admin.ch/dam/en/sd-web/brLL9rM3ny9d/Leitfaden%20des%20ED%C3%96B%20betreffend%20Datenbearbeitungen%20mittels%20Cookies%20und%20%C3%A4hnlichen%20Technologien%20V.%201.1%20vom%2006.10.2025_EN.pdf,corrected by verification,minor,"Given pdf_url was an Indonesian data protection statute, unrelated. Correct guidance PDF found on the FDPIC page; every other claim checked out against it."
Cookie Compliance,cookie-2,"Conseil d'Etat, decision no. 434684 on the CNIL's 2019 cookie guidelines (cookie walls)",https://www.conseil-etat.fr/fr/arianeweb/CE/decision/2020-06-19/434684,https://www.edpb.europa.eu/system/files/2025-12/edpb-recommendations-202502-mandatory-user-accounts_en.pdf,probe,confirmed,Given pdf_url was an unrelated EDPB recommendations document on user accounts. The Conseil d'Etat's decision page carries the ruling as HTML with no PDF link; that text confirms the annulment of the absolute cookie-wall ban and the retained requirements for purpose-specific conse
Cookie Compliance,cookie-21,"AEPD, press release: cookie guide updated to the EDPB deceptive design guidelines, compliance by 11 January 2024",https://www.aepd.es/prensa-y-comunicacion/notas-de-prensa/aepd-actualiza-guia-cookies-para-adaptarla-a-nuevas-directrices-cepd,https://www.aepd.es/guias/guia-cookies.pdf,corrected by verification,confirmed,"pdf_url was EDPB Guidelines 8/2020 (targeting of social media users), the wrong guideline number entirely. Verified the takeaway against the AEPD press release page itself, which names Guidelines 03/2022 on deceptive design and the 11 January 2024 deadline exactly as stated. The "
Cookie Compliance,cookie-214,"California Privacy Protection Agency, Order of Decision against PlayOn Sports",https://privacy.ca.gov/2026/03/youth-sports-media-company-to-pay-1-1-million-fine-change-practices-over-privacy-violations/,https://privacy.ca.gov/wp-content/uploads/sites/357/2026/03/Order-of-Decision_PlayOn_Enforcement.pdf,corrected by verification,confirmed,"pdf_url was an unrelated 2021 ACCC Australia ad-tech market study; found the actual Order of Decision PDF linked from the CPPA press release. It confirms the $1.10 million fine against 2080 Media, Inc. d/b/a PlayOn Sports, the forced-consent banner, the referral to NAI/DAA instea"
Cookie Compliance,cookie-40,"EDPB, article 65 binding decision requiring the Belgian DPA to examine a noyb cookie banner complaint against VRT on the merits",https://www.edpb.europa.eu/news/edpb-requires-belgian-dpa-to-handle-the-merits-of-noyb-cookie-banner-complaint_en,https://www.edpb.europa.eu/system/files/2026-07/edpb_bindingdecision_202601_be_sa_vrt_redacted_en.pdf,corrected by verification,confirmed,"Given pdf_url was a Danish cookie guidance PDF, unrelated. Correct binding decision PDF found on the EDPB page and confirms the complaint route, the abuse-of-rights dismissal under articles 77 and 80(1), and the instruction to reassess on the merits under article 60(3). Text extr"
Cookie Compliance,cookie-87,"Digital Fairness Act initiative (dark patterns, addictive design, consent fatigue)",https://www.europarl.europa.eu/legislative-train/theme-protecting-our-democracy-upholding-our-values/file-digital-fairness-act,https://www.legislation.gov.uk/uksi/2026/1015/contents/made/data.pdf,probe,confirmed,"Given pdf_url was a UK statutory instrument, unrelated, and the source page's own 'PDF' link is a robots-blocked carriage report. No adopted document exists yet for this proposal, so verified against the legislative train tracker page itself: it confirms the consultation closed 2"
Cookie Compliance,cookie-91,OPC Guidelines on privacy and online behavioural advertising,https://www.priv.gc.ca/en/privacy-topics/technology/online-privacy-tracking-cookies/tracking-and-ads/gl_ba_1112/,,none available,wrong_file,"priv.gc.ca could not be fetched (repeated robots/timeout errors on the live page). Cross-checked via a contemporaneous law-firm summary of the same guidelines, which matches the takeaway's opt-out timing, sensitivity, children and data-destruction conditions, but this is a second"
Cookie Compliance,cookie-93,Joint investigation into location tracking by the Tim Hortons app (PIPEDA Findings 2022-001),https://www.priv.gc.ca/en/opc-actions-and-decisions/investigations/investigations-into-businesses/2022/pipeda-2022-001/,https://www.legislation.gov.uk/uksi/2026/82/pdfs/uksi_20260082_en.pdf,probe,confirmed,"Given pdf_url was a UK statutory instrument, unrelated, and the OPC page has no separate PDF. The published findings text confirms the four-authority investigation, the closed-app tracking versus stated behaviour, the unused advertising purpose, one-month deletion, a privacy-impa"
EDPB,edpb-106,Opinion 28/2024 on certain data protection aspects related to the processing of personal data in the context of AI models,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-282024-on-certain-data-protection-aspects-related-to_en,https://www.edpb.europa.eu/system/files/documents/2024-12/edpb_opinion_202428_ai-models_en.pdf,probe,confirmed,"Anonymity standard (para 43), three-step legitimate interest test (paras 66-76) and the development/deployment unlawfulness scenarios (section 3.4) all match; the opinion is general guidance requested by the Irish SA, naming no company, consistent with the takeaway."
EDPB,edpb-130,Report on the use of SPE external experts,https://www.edpb.europa.eu/documents/support-pool-of-experts/report-on-the-use-of-spe-external-experts_en,https://www.edpb.europa.eu/system/files/documents/2024-06/edpb_1st_report-support-pool-experts-programme_en.pdf,probe,confirmed,"Confirmed as the first report on the Support Pool of Experts programme, covering its initial projects since launch. PDF dated 16 April 2024 versus the digest's 27 June 2024, not part of the takeaway text."
EDPB,edpb-133,Data Protection Officer training,https://www.edpb.europa.eu/documents/support-pool-of-experts/data-protection-officer-training_en,https://www.edpb.europa.eu/system/files/documents/2024-06/dpo-training_d1general-module_edpb-spe-programme_hr.pdf,probe,minor,"Three modules, Croatian language, Support Pool of Experts programme, Croatian DPA and the non-EDPB-position disclaimer are all confirmed; only the health module's specific content and submission date could not be confirmed."
EDPB,edpb-153,Report on the extraterritorial enforcement of the GDPR,https://www.edpb.europa.eu/documents/support-pool-of-experts/report-on-the-extraterritorial-enforcement-of-the-gdpr_en,https://www.edpb.europa.eu/system/files/documents/2024-10/edpb_20240417_report_extraterritorial_enforcement_gdpr_en.pdf,probe,confirmed,"Report dated 17 April 2024 covers Article 3(2) extraterritorial scope, representatives, service of decisions and cross-border cooperation, matching the takeaway."
EDPB,edpb-162,Opinion 01/2024 on the draft decision of the Dutch Supervisory Authority regarding the Processor Binding Corporate Rules of the Booking.com Group,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-012024-on-the-draft-decision-of-the-dutch-supervisory_en,https://www.edpb.europa.eu/system/files/documents/2024-01/edpb_opinion_202401_bcr-p_booking_en.pdf,probe,confirmed,"Opinion 01/2024, 16 January 2024, Dutch SA as BCR Lead, Booking.com Group Processor BCR (BCR-P): all match."
EDPB,edpb-194,Binding Decision 2/2023 on the dispute submitted by the Irish SA regarding TikTok Technology Limited (Art. 65 GDPR),https://www.edpb.europa.eu/documents/edpb-binding-decisions/binding-decision-22023-on-the-dispute-submitted-by-the-irish-sa_en,https://www.edpb.europa.eu/system/files/documents/2023-09/edpb_bindingdecision_202302_ie_sa_ttl_children_en.pdf,probe,confirmed,"PDF is Binding Decision 2/2023, adopted 2 August 2023. All articles (25(1), 25(2), 5(1)(c), 24(1), 13(1)(e), 12(1), plus the added 5(1)(a) fairness finding), the 31 July to 31 December 2020 period, and the registration/video-posting pop-up nudging are confirmed in the text."
EDPB,edpb-217,Guidelines 9/2022 on personal data breach notification under GDPR,https://www.edpb.europa.eu/documents/guideline/guidelines-92022-on-personal-data-breach-notification-under-gdpr_en,https://www.edpb.europa.eu/system/files/documents/2023-04/edpb_guidelines_202209_personal_data_breach_notification_v2.0_en.pdf,probe,confirmed,Para 73 confirms non-EU Art 3(2) controllers must notify every affected Member State's authority; rest of takeaway matches standard Art 33/34/33(5) content.
EDPB,edpb-222,EDPB Document on the procedure for the adoption of the EDPB opinions regarding national criteria for certification and European Data Protection Seals,https://www.edpb.europa.eu/documents/procedure/edpb-document-on-the-procedure-for-the-adoption-of-the-edpb-opinions-regarding_en,https://www.edpb.europa.eu/system/files/documents/2023-02/edpb_document_procedure_for_the_adoption_edpb_opinions_regarding_national_criteria_for_certification_european_data_protection_seals_en.pdf,probe,confirmed,"Title and 27 February 2023 adoption date match; the document sets internal Board procedure, no controller or processor obligation."
EDPB,edpb-235,Binding Decision 5/2022 on the dispute submitted by the Irish SA regarding WhatsApp Ireland Limited (Art. 65 GDPR),https://www.edpb.europa.eu/documents/edpb-binding-decisions/binding-decision-52022-on-the-dispute-submitted-by-the-irish-sa_en,https://www.edpb.europa.eu/system/files/documents/2023-01/edpb_bindingdecision_202205_ie_sa_whatsapp_en.pdf,probe,correction,"The takeaway conflates two WhatsApp decisions: the Art 12(1)/13(1)(c) privacy-policy order comes from the EDPB's 2021 decision, which 5/2022 only references."
EDPB,edpb-253,Opinion 18/2022 on the draft decision of the Baden-Württemberg (Germany) Supervisory Authority regarding the Controller Binding Corporate Rules of the Daimler Truck Group,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-182022-on-the-draft-decision-of-the-baden-wurttemberg_en,https://www.edpb.europa.eu/system/files/2026-04/edpb_opinion_202218_bcr-c_daimlertruck_en.pdf,probe,confirmed,"Opinion 18/2022, 26 August 2022, Baden-Wurttemberg SA, Daimler Truck Group Controller BCR (BCR-C): all match."
EDPB,edpb-257,EDPB-EDPS Joint Opinion 04/2022 on the Proposal for a Regulation of the European Parliament and of the Council laying down rules to prevent and combat child sexual abuse,https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-042022-on-the-proposal-for-a-regulation-of_en,https://www.edpb.europa.eu/system/files/documents/2022-07/edpb_edps_jointopinion_202204_csam_en_0.pdf,probe,confirmed,"Opinion 04/2022 confirmed, adopted 28 July 2022; the opinion states detection measures for solicitation and unknown CSAM go beyond what is necessary and proportionate."
EDPB,edpb-286,"Call for Expressions of Interest ""Experts for the implementation of the EDPB's Support Pool of Experts""",https://www.edpb.europa.eu/documents/support-pool-of-experts/call-for-expressions-of-interest-experts-for-the-implementation_en,https://www.edpb.europa.eu/system/files/documents/2022-02/call_for_expressions_of_interest_support_pool_of_experts.pdf,probe,confirmed,"Subject matches (Support Pool of Experts call); the PDF is formatted as the official notice/corrigendum rather than a plain call document, but it is the right document."
EDPB,edpb-287,Opinion 1/2022 on the draft decision of the Luxembourg Supervisory Authority regarding the GDPR - CARPA certification criteria,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-12022-on-the-draft-decision-of-the-luxembourg_en,https://www.edpb.europa.eu/system/files/documents/2022-02/opinion_01-2022_gdpr-carpa_certification_criteria_en.pdf,probe,confirmed,"Opinion number and Luxembourg authority match; the document itself invokes Article 42(5) for the certification criteria (Article 64(1)(c) is the procedural basis for the opinion). PDF shows adoption 1 February 2022 versus the digest's 8 February 2022, not part of the takeaway tex"
EDPB,edpb-311,Study on the interplay between the AMLD and the GDPR framework,https://www.edpb.europa.eu/documents/legal-study-by-external-suppliers/study-on-the-interplay-between-the-amld-and-the-gdpr_en,https://www.edpb.europa.eu/system/files/2026-07/aml-framework_en.pdf,probe,confirmed,"Only document on the source page, dated 01 August 2021; study on AMLD/GDPR interplay by an external provider for the EDPB confirmed."
EDPB,edpb-312,Binding decision 1/2021 on the dispute arisen on the draft decision of the Irish Supervisory Authority regarding WhatsApp Ireland under Article 65(1)(a) GDPR,https://www.edpb.europa.eu/documents/edpb-binding-decisions/binding-decision-12021-on-the-dispute-arisen-on-the-draft-decision_en,https://www.edpb.europa.eu/system/files/documents/2021-09/edpb_bindingdecision_202101_ie_sa_whatsapp_redacted_en.pdf,probe,confirmed,"Art 13(1)(d) addition, personal-data status of the lossy-hash table under Art 14, and the upward reassessment from the draft's 30-50m euro range are each confirmed by direct quotes (paras 66, 161, 9.4/68)."
EDPB,edpb-322,One-Stop-Shop Leaflet,https://www.edpb.europa.eu/documents/other-guidance/one-stop-shop-leaflet_en,https://www.edpb.europa.eu/system/files/documents/2021-06/2020_06_22_one-stop-shop_leaflet_en.pdf,probe,confirmed,"Confirmed as the public-facing One-Stop-Shop leaflet, using a worked example to explain the mechanism that reduces administrative burden and simplifies exercising rights."
EDPB,edpb-327,EDPB Annual Report 2020,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-annual-report-2020_en,https://www.edpb.europa.eu/system/files/documents/2021-06/edpb_aar_2020_final_27.05.21.pdf,probe,confirmed,"Cover confirms EDPB Annual Report 2020; text cites 10 guidelines, 32 Art. 64 opinions, first Art. 65 dispute resolution, and IMI case figures."
EDPB,edpb-330,Opinion 17/2021 on the draft decision of the French Supervisory Authority regarding the European code of conduct submitted by the Cloud Infrastructure Service Providers (CISPE),https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-172021-on-the-draft-decision-of-the-french_en,https://www.edpb.europa.eu/system/files/documents/2021-05/edpb_opinion_202117_cispecode_en_0.pdf,probe,confirmed,"Opinion 17/2021, 19 May 2021, French SA, CISPE cloud code of conduct: matches."
EDPB,edpb-331,"Opinion 16/2021 on the draft decision of the Belgian Supervisory Authority regarding the ""EU Data Protection Code of Conduct for Cloud Service Providers"" submitted by Scope Europe",https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-162021-on-the-draft-decision-of-the-belgian_en,https://www.edpb.europa.eu/system/files/documents/2021-05/edpb_opinion_202116_eucloudcode_en.pdf,probe,confirmed,"Opinion 16/2021, Belgian SA, EU Data Protection Code of Conduct for Cloud Service Providers submitted by Scope Europe, all confirmed."
EDPB,edpb-334,EDPB contribution to the 6th round of consultations on the draft Second Additional Protocol to the Council of Europe Budapest Convention on Cybercrime,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-contribution-to-the-6th-round-of-consultations-on-the_en,https://www.edpb.europa.eu/system/files/documents/2021-05/edpb_contribution052021_6throundconsultations_budapestconvention_en.pdf,probe,confirmed,Title and date match; document concerns Second Additional Protocol safeguards including direct cross-border access provisions. PDF needed several retries to fetch.
EDPB,edpb-336,Opinion 14/2021 regarding the European Commission Draft Implementing Decision pursuant to Regulation (EU) 2016/679 on the adequate protection of personal data in the United Kingdom,https://www.edpb.europa.eu/documents/adequacy/opinion-142021-regarding-the-european-commission-draft-implementing-decision_en,https://www.edpb.europa.eu/system/files/documents/2021-04/edpb_opinion142021_ukadequacy_gdpr.pdf_en.pdf,probe,confirmed,All six flagged concerns and the four-year sunset clause are in the opinion as described; PDF matches the named opinion exactly.
EDPB,edpb-339,Guidelines 8/2020 on the targeting of social media users,https://www.edpb.europa.eu/documents/guideline/guidelines-82020-on-the-targeting-of-social-media-users_en,https://www.edpb.europa.eu/system/files/documents/2021-04/edpb_guidelines_082020_on_the_targeting_of_social_media_users_en.pdf,probe,confirmed,"Joint controllership, Art 26, Art 6(1)(b) exclusion, legitimate interests and consent points confirmed; v2.0/13 Apr 2021 and v2.1/7 Jul 2021 reference-only update both confirmed."
EDPB,edpb-340,"EDPB-EDPS Joint Opinion 04/2021 on the Proposal for a Regulation of the European Parliament and of the Council on a framework for the issuance, verification and acceptance of interoperable certificates on vaccination, testing and recovery",https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-042021-on-the-proposal-for-a-regulation-of_en,https://www.edpb.europa.eu/system/files/documents/2021-04/edpb_edps_joint_opinion_dgc_en.pdf,probe,confirmed,"Opinion 04/2021 confirmed: paragraph 30 rules out a central EU database, paragraph 23 limits purpose to free movement, and paragraphs 22 and 28 call for suspension once the pandemic ends."
EDPB,edpb-346,EDPB-EDPS Joint Opinion 03/2021 on the Proposal for a regulation of the European Parliament and of the Council on European data governance (Data Governance Act),https://www.edpb.europa.eu/documents/legislative-opinion/edpb-edps-joint-opinion-032021-on-the-proposal-for-a-regulation-of_en,https://www.edpb.europa.eu/system/files/documents/2021-03/edpb-edps_joint_opinion_dga_en.pdf,probe,confirmed,Joint Opinion 03/2021 on the draft Data Governance Act proposal confirmed; the later-adoption claim is outside the document itself.
EDPB,edpb-355,Recommendations 01/2021 on the adequacy referential under the Law Enforcement Directive,https://www.edpb.europa.eu/documents/recommendation/recommendations-012021-on-the-adequacy-referential-under-the-law_en,https://www.edpb.europa.eu/system/files/documents/files/file1/recommendations012021onart.36led.pdf_en.pdf,probe,confirmed,"Recommendations 01/2021, adopted 2 February 2021, confirmed as the Article 36 LED adequacy referential for third-country police and justice transfers."
EDPB,edpb-359,Opinion 04/2021 on the draft decision of the Belgian Supervisory Authority regarding the Processor Binding Corporate Rules of BDO,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-042021-on-the-draft-decision-of-the-belgian_en,https://www.edpb.europa.eu/system/files/documents/2022-12/edpb_opinion_202104_bdo_bcr-p_en.pdf,probe,confirmed,"Opinion 04/2021, Belgian SA, BDO Processor BCR, favourable under Article 64(1)(f): all confirmed."
EDPB,edpb-371,Internal EDPB Document 07/2020 on the Terms of Reference of the EDPB Support Pool of Experts,https://www.edpb.europa.eu/documents/internal-document/internal-edpb-document-072020-on-the-terms-of-reference-of-the-edpb_en,https://www.edpb.europa.eu/system/files/documents/2022-07/internal_edpb_document_202007_supportpoolofexpertstor_en.pdf,probe,confirmed,"Cover confirms Internal EDPB Document 07/2020 on the Support Pool of Experts Terms of Reference, adopted 15 December 2020, matching the entry."
EDPB,edpb-377,Opinion 32/2020 on the draft decision of the Dutch Supervisory Authority regarding the Controller Binding Corporate Rules of Equinix,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-322020-on-the-draft-decision-of-the-dutch-supervisory_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_opinion_202032_bcr-c_equinix_en.pdf,probe,confirmed,"Opinion 32/2020, Dutch SA, Equinix Controller BCR, favourable under Article 64(1)(f): all confirmed."
EDPB,edpb-388,Recommendations 02/2020 on the European Essential Guarantees for surveillance measures,https://www.edpb.europa.eu/documents/recommendation/recommendations-022020-on-the-european-essential-guarantees-for_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_recommendations_202002_europeanessentialguaranteessurveillance_en.pdf,probe,confirmed,"The four guarantees, the 10 November 2020 adoption date, the WP237/Schrems II update, the notification-once-it-no-longer-jeopardises-an-investigation detail, and the Article 45 adequacy link are all confirmed in the text."
EDPB,edpb-389,Decision 01/2020 on the dispute arisen on the draft decision of the Irish Supervisory Authority regarding Twitter International Company under Article 65(1)(a) GDPR,https://www.edpb.europa.eu/documents/edpb-binding-decisions/decision-012020-on-the-dispute-arisen-on-the-draft-decision-of-the_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_bindingdecision01_2020_en.pdf,probe,confirmed,"Confirmed: first Article 65(1)(a) decision, Irish SA draft on Twitter International Company, fine raised from EUR 405,000 to EUR 405,000,000 (paragraph 145)."
EDPB,edpb-390,Guidelines 4/2019 on Article 25 Data Protection by Design and by Default,https://www.edpb.europa.eu/documents/guideline/guidelines-42019-on-article-25-data-protection-by-design-and-by-default_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_guidelines_201904_dataprotection_by_design_and_by_default_v2.0_en.pdf,probe,confirmed,"Version 2.0, dated 20 October 2020, confirmed. KPIs, the by-default data minimisation factors, applicability to legacy systems and to processors/producers, and the Article 83(4) fine link all match the text."
EDPB,edpb-393,Study on the Big Data applications in the European insurance sector,https://www.edpb.europa.eu/documents/legal-study-by-external-suppliers/study-on-the-big-data-applications-in-the-european_en,https://www.edpb.europa.eu/system/files/2026-07/big-data-in-the-insurance-sector_en.pdf,probe,confirmed,"External study (Milieu/University of Namur) on big data and profiling in EU insurance, commissioned by but not endorsed by the EDPB, matches the takeaway."
EDPB,edpb-399,Opinion 22/2020 on the draft decision of the competent supervisory authority of Greece regarding the approval of the requirements for accreditation of a certification body pursuant to Article 43.3 (GDPR),https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-222020-on-the-draft-decision-of-the-competent_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_opinion_202022_on_the_el_sa_accreditation_requirements_for_certification_body_en.pdf,probe,confirmed,"Takeaway text (Greece, Art 43(3), Guidelines 4/2018) is correct; only the entry's date field (not part of the takeaway) looks off by three weeks."
EDPB,edpb-402,Opinion 18/2020 on the draft decision of the competent supervisory authority of the Netherlands regarding the approval of the requirements for accreditation of a code of conduct monitoring body pursuant to article 41 GDPR,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-182020-on-the-draft-decision-of-the-competent_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_opinion_202018_on_the_nl_sa_accreditation_requirements_for_monitoring_body_en.pdf,probe,confirmed,"Opinion 18/2020, 23 July 2020, Netherlands SA, Article 41 monitoring body accreditation, Guidelines 1/2019: all match."
EDPB,edpb-407,Internal EDPB Document 2/2020 on how to deal with complaints relating to data protection infringements started before the entry into application of GDPR that continue after 25 May 2018,https://www.edpb.europa.eu/documents/internal-document/internal-edpb-document-22020-on-how-to-deal-with-complaints-relating-to_en,https://www.edpb.europa.eu/system/files/documents/2022-07/internal_edpb_document_202002_pre-gdpr_and_post-gdpr_cases_en.pdf,probe,minor,"Number, date and no-obligation point confirmed; the description of what the document governs was off."
EDPB,edpb-41,EU-U.S. Data Privacy Framework F.A.Q. for European businesses - version 2.0,https://www.edpb.europa.eu/documents/other-guidance/eu-us-data-privacy-framework-faq-for-european-businesses-version-20_en,https://www.edpb.europa.eu/system/files/2026-04/edpb_dpf_faq-for-businesses_v2_en.pdf,probe,confirmed,"Every claim matches the FAQ text: DPF List check, FTC/DoT self-certification, SCC/BCR fallback, HR Data and cooperation commitment, Article 28 agreement, version 2.0 adopted 15 January 2026 replacing version 1.0 of July 2024."
EDPB,edpb-419,EDPB Annual Report 2019,https://www.edpb.europa.eu/documents/reports-statements-and-letters/edpb-annual-report-2019_en,https://www.edpb.europa.eu/system/files/documents/files/file1/edpb_annual_report_2019_en.pdf.pdf,probe,confirmed,"Cover page reads European Data Protection Board 2019 Annual Report, matching the takeaway."
