Group,Group link,Jurisdiction,Date,Type,Status,Title,Topics,Source basis,Document URL,Digest entry link
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,17 April 2024,regulator guidance,in force,EDPB Opinion 08/2024 on valid consent in the context of consent or pay models implemented by large online platforms,"consent-or-pay, consent, cookie-walls",primary,https://www.edpb.europa.eu/system/files/2024-04/edpb_opinion_202408_consentorpay_en.pdf,https://simeonatanasov.com/cookie-digest.html#ck-d011
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,7 March 2024,court decision,decided,"CJEU, Case C-604/22, IAB Europe v Gegevensbeschermingsautoriteit","tcf, consent, other",primary,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62022CJ0604,https://simeonatanasov.com/cookie-digest.html#ck-d012
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,17 February 2024,legislation,in force,"Digital Services Act, Regulation (EU) 2022/2065, Article 25 (dark patterns), Article 26 (advertising transparency) and Article 28 (minors)","dark-patterns, children, other",primary,https://eur-lex.europa.eu/eli/reg/2022/2065/oj,https://simeonatanasov.com/cookie-digest.html#ck-d013
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,19 December 2023,regulator guidance,historical,EDPB letter on the Commission's draft principles for a voluntary cookie pledge,"consent-or-pay, consent, other",primary,https://www.edpb.europa.eu/our-work-tools/our-documents/letters/edpb-reply-commissions-initiative-voluntary-business-pledge_en,https://simeonatanasov.com/cookie-digest.html#ck-d014
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,19 December 2023,proposal,historical,European Commission cookie pledge initiative (draft pledging principles),"consent, consent-or-pay, strictly-necessary",primary,https://commission.europa.eu/live-work-travel-eu/consumer-rights-and-complaints/enforcement-consumer-protection/cookie-pledge_en,https://simeonatanasov.com/cookie-digest.html#ck-d015
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,4 July 2023,court decision,decided,"CJEU, Case C-252/21, Meta Platforms and Others v Bundeskartellamt","consent, consent-or-pay, health-data",primary,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62021CJ0252,https://simeonatanasov.com/cookie-digest.html#ck-d016
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,2 May 2023,legislation,in force,"Digital Markets Act, Regulation (EU) 2022/1925, Article 5(2) (consent for combining and cross-using personal data)","consent, consent-or-pay, enforcement",primary,https://eur-lex.europa.eu/eli/reg/2022/1925/oj,https://simeonatanasov.com/cookie-digest.html#ck-d017
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,14 February 2023,regulator guidance,in force,"EDPB Guidelines 03/2022 on deceptive design patterns in social media platform interfaces, version 2.0","dark-patterns, consent, reject-button",primary,https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-032022-deceptive-design-patterns-social-media_en,https://simeonatanasov.com/cookie-digest.html#ck-d018
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,17 January 2023,regulator guidance,in force,EDPB Report of the work undertaken by the Cookie Banner Taskforce,"reject-button, dark-patterns, strictly-necessary",primary,https://www.edpb.europa.eu/our-work-tools/our-documents/other/report-work-undertaken-cookie-banner-taskforce_en,https://simeonatanasov.com/cookie-digest.html#ck-d019
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,10 August 2021,enforcement,historical,"noyb, 422 formal GDPR complaints filed against cookie banners after the warning period","dark-patterns, reject-button, enforcement",secondary,https://noyb.eu/en/noyb-files-422-formal-gdpr-complaints-nerve-wrecking-cookie-banners,https://simeonatanasov.com/cookie-digest.html#ck-d020
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,31 May 2021,enforcement,historical,"noyb, cookie banner campaign launch: more than 500 draft complaints to websites using unlawful banners","dark-patterns, reject-button, enforcement",secondary,https://noyb.eu/en/noyb-aims-end-cookie-banner-terror-and-issues-more-500-gdpr-complaints,https://simeonatanasov.com/cookie-digest.html#ck-d021
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,13 April 2021,regulator guidance,in force,"EDPB Guidelines 8/2020 on the targeting of social media users, version 2.0","pixels-wiretap, consent, other",primary,https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-82020-targeting-social-media-users_en,https://simeonatanasov.com/cookie-digest.html#ck-d022
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,11 November 2020,court decision,decided,"CJEU, Case C-61/19, Orange Romania SA v ANSPDCP","consent, dark-patterns",primary,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62019CJ0061,https://simeonatanasov.com/cookie-digest.html#ck-d023
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,4 May 2020,regulator guidance,in force,EDPB Guidelines 05/2020 on consent under Regulation 2016/679,"consent, cookie-walls, reject-button",primary,https://www.edpb.europa.eu/our-work-tools/our-documents/guidelines/guidelines-052020-consent-under-regulation-2016679_en,https://simeonatanasov.com/cookie-digest.html#ck-d024
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,1 October 2019,court decision,decided,"CJEU, Case C-673/17, Bundesverband der Verbraucherzentralen v Planet49 GmbH","consent, reject-button",primary,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62017CJ0673,https://simeonatanasov.com/cookie-digest.html#ck-d025
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,29 July 2019,court decision,decided,"CJEU, Case C-40/17, Fashion ID GmbH & Co. KG v Verbraucherzentrale NRW eV","pixels-wiretap, consent, other",primary,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62017CJ0040,https://simeonatanasov.com/cookie-digest.html#ck-d026
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,12 March 2019,regulator guidance,in force,EDPB Opinion 5/2019 on the interplay between the ePrivacy Directive and the GDPR,"consent, enforcement, other",primary,https://www.edpb.europa.eu/documents/opinion-of-the-board-art-64/opinion-52019-on-the-interplay-between-the-eprivacy-directive_en,https://simeonatanasov.com/cookie-digest.html#ck-d027
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,25 May 2018,legislation,in force,"General Data Protection Regulation (EU) 2016/679, Articles 4(11), 6, 7 and 25 and Recital 30","consent, dark-patterns, other",primary,https://eur-lex.europa.eu/eli/reg/2016/679/oj,https://simeonatanasov.com/cookie-digest.html#ck-d028
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,19 October 2016,court decision,decided,"CJEU, Case C-582/14, Patrick Breyer v Bundesrepublik Deutschland (dynamic IP addresses)","other, analytics-exemption",primary,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX%3A62014CJ0582,https://simeonatanasov.com/cookie-digest.html#ck-d029
European Union,https://simeonatanasov.com/cookie-digest.html#ck-european-union,EU,19 December 2009,legislation,in force,"ePrivacy Directive 2002/58/EC as amended by Directive 2009/136/EC, Article 5(3) and Article 13","consent, strictly-necessary, email-marketing",primary,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02002L0058-20091219,https://simeonatanasov.com/cookie-digest.html#ck-d030
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Belgium,14 July 2026,regulator guidance,decided,"EDPB, article 65 binding decision requiring the Belgian DPA to examine a noyb cookie banner complaint against VRT on the merits","enforcement, dark-patterns",primary,https://www.edpb.europa.eu/news/edpb-requires-belgian-dpa-to-handle-the-merits-of-noyb-cookie-banner-complaint_en,https://simeonatanasov.com/cookie-digest.html#ck-d031
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Austria,21 May 2026,court decision,decided,"Bundesverwaltungsgericht (Austria), W171 2303402-1: ORF.at must give accept and reject buttons equal prominence","dark-patterns, reject-button",secondary,https://noyb.eu/en/noyb-success-orfat-must-correct-misleading-cookie-banner,https://simeonatanasov.com/cookie-digest.html#ck-d032
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,14 April 2026,regulator guidance,in force,"CNIL, Deliberation 2026-042: recommendation on tracking pixels in emails","email-marketing, pixels-wiretap, consent",primary,https://www.cnil.fr/fr/recommandation-pixel-suivi-courriels,https://simeonatanasov.com/cookie-digest.html#ck-d033
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,30 December 2025,enforcement,decided,"CNIL, 3.5 million euro fine for transmitting loyalty-member data to a social network and for eleven cookies placed before choice","pixels-wiretap, consent, enforcement",primary,https://www.cnil.fr/fr/transmission-de-donnees-un-reseau-social-des-fins-publicitaires-sanction,https://simeonatanasov.com/cookie-digest.html#ck-d034
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,27 November 2025,enforcement,decided,"CNIL, American Express Carte France fined 1.5 million euros for cookies placed on arrival and read after refusal","consent, enforcement",primary,https://www.cnil.fr/en/cookies-american-express-fined-eu15-million-cnil,https://simeonatanasov.com/cookie-digest.html#ck-d035
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Netherlands,11 November 2025,enforcement,decided,"Autoriteit Persoonsgegevens, more than 200 websites warned over misleading cookie banners; three quarters corrected, enforcement against the rest","dark-patterns, enforcement",secondary,https://privacy-web.nl/nieuws/ap-driekwart-websites-past-misleidende-cookiebanner-aan-na-waarschuwing-onderzoek-gestart-naar-weigeraars/,https://simeonatanasov.com/cookie-digest.html#ck-d036
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Germany,17 October 2025,regulator guidance,in force,BfDI recognises the first consent management service under the EinwV (Consenter),"browser-signals, consent",secondary,https://datenschutzbeauftragter-hamburg.de/2025/11/erster-dienst-zur-einwilligungsverwaltung-anerkannt/,https://simeonatanasov.com/cookie-digest.html#ck-d037
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,1 September 2025,enforcement,decided,"CNIL, Google LLC and Google Ireland fined 325 million euros for cookies at account creation and adverts inserted between Gmail emails","consent, email-marketing, enforcement",primary,https://www.cnil.fr/en/cookies-and-advertisements-inserted-between-emails-google-fined-325-million-euros-cnil,https://simeonatanasov.com/cookie-digest.html#ck-d038
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,1 September 2025,enforcement,decided,"CNIL, Infinite Styles Services (SHEIN) fined 150 million euros for cookies placed without consent","consent, enforcement",primary,https://www.cnil.fr/en/cookies-placed-without-consent-shein-fined-150-million-euros-cnil,https://simeonatanasov.com/cookie-digest.html#ck-d039
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Austria,18 August 2025,court decision,under appeal,"Bundesverwaltungsgericht (Austria), DerStandard pay or okay: DSB decision confirmed, consent must be granular","consent-or-pay, consent",secondary,https://noyb.eu/en/court-decides-pay-or-okay-derstandardat-illegal,https://simeonatanasov.com/cookie-digest.html#ck-d040
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Denmark,15 May 2025,regulator guidance,in force,"Datatilsynet and Digitaliseringsstyrelsen, joint guidance on the use of cookies and similar technologies","consent, analytics-exemption",primary,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2025/maj/datatilsynet-og-digitaliseringsstyrelsen-udgiver-en-faelles-vejledning,https://simeonatanasov.com/cookie-digest.html#ck-d041
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Belgium,14 May 2025,court decision,decided,"Brussels Market Court, judgment 2022/AR/292 on IAB Europe's appeal against decision 21/2022","tcf, consent",primary,https://www.dataprotectionauthority.be/citizen/the-market-court-rules-in-the-iab-europe-case,https://simeonatanasov.com/cookie-digest.html#ck-d042
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Sweden,30 April 2025,enforcement,decided,"Integritetsskyddsmyndigheten (IMY), three cookie banner decisions: reprimands for Warner Music Sweden, ATG and Aller Media","dark-patterns, consent, enforcement",primary,https://www.imy.se/nyheter/imy-riktar-kritik-mot-foretags-kakbanners/,https://simeonatanasov.com/cookie-digest.html#ck-d043
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,8 April 2025,regulator guidance,in force,"CNIL, Deliberation 2025-024: recommendation on mobile applications (amended version)","consent, other",primary,https://www.cnil.fr/fr/recommandations-applications-mobiles-modifiee,https://simeonatanasov.com/cookie-digest.html#ck-d044
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Netherlands,8 April 2025,enforcement,decided,"Autoriteit Persoonsgegevens, five cookie banner investigations closed after corrections (deceptive banners)","reject-button, dark-patterns, enforcement",primary,https://www.autoriteitpersoonsgegevens.nl/actueel/foute-cookiebanners-aangepast-na-ingrijpen-ap,https://simeonatanasov.com/cookie-digest.html#ck-d045
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Germany,1 April 2025,legislation,in force,"Germany, Einwilligungsverwaltungsverordnung (EinwV): regulation on recognised consent management services","browser-signals, consent",primary,https://www.gesetze-im-internet.de/einwv/BJNR0200B0025.html,https://simeonatanasov.com/cookie-digest.html#ck-d046
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Germany,19 March 2025,court decision,decided,"Verwaltungsgericht Hannover, judgment 10 A 5385/22: a reject all button on the first layer is mandatory","reject-button, dark-patterns, enforcement",primary,https://www.lfd.niedersachsen.de/startseite/infothek/presseinformationen/urteil-zu-manipulativem-cookie-banner-alles-ablehnen-schaltflache-ist-ein-muss-241960.html,https://simeonatanasov.com/cookie-digest.html#ck-d047
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Poland,1 March 2025,regulator guidance,in force,"UODO, bulletin 03/2025: the Polish DPA's position on cookie consent and banners","consent, cookie-walls, dark-patterns",primary,https://uodo.gov.pl/pl/file/5869,https://simeonatanasov.com/cookie-digest.html#ck-d048
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Spain,23 January 2025,legislation,in force,"Spain, Ley 34/2002 (LSSI), article 22.2: consent for storage devices on terminal equipment","consent, strictly-necessary",primary,https://www.boe.es/buscar/act.php?id=BOE-A-2002-13758,https://simeonatanasov.com/cookie-digest.html#ck-d049
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,12 December 2024,enforcement,decided,"CNIL, formal notices to website publishers over misleading cookie banners","dark-patterns, reject-button, enforcement",primary,https://www.cnil.fr/fr/bannieres-cookies-trompeuses-la-cnil-met-en-demeure-des-editeurs-de-sites-web,https://simeonatanasov.com/cookie-digest.html#ck-d050
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Italy,13 November 2024,enforcement,decided,"Garante, provvedimento n. 670: warning and compliance order after Guardia di Finanza cookie inspections of e-commerce sites","consent, enforcement",primary,https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/10093485,https://simeonatanasov.com/cookie-digest.html#ck-d051
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Germany,14 May 2024,legislation,in force,"Germany, TDDDG section 25 (Telekommunikation-Digitale-Dienste-Datenschutz-Gesetz, formerly TTDSG): protection of privacy in terminal equipment","consent, strictly-necessary",primary,https://www.gesetze-im-internet.de/ttdsg/__25.html,https://simeonatanasov.com/cookie-digest.html#ck-d052
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Spain,1 May 2024,regulator guidance,in force,"AEPD, Guia sobre el uso de las cookies (May 2024 edition)","reject-button, consent-or-pay, cookie-walls",primary,https://www.aepd.es/guias/guia-cookies.pdf,https://simeonatanasov.com/cookie-digest.html#ck-d053
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Germany,9 February 2024,enforcement,decided,"BayLDA, press release on automated checks of cookie banners on 350 websites and 15 apps","reject-button, enforcement",primary,https://www.lda.bayern.de/media/pm/pm2024_02.pdf,https://simeonatanasov.com/cookie-digest.html#ck-d054
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Germany,19 January 2024,court decision,decided,"Oberlandesgericht Koeln, judgment 6 U 80/23: accept and reject options in a cookie banner must be equivalent","reject-button, dark-patterns",secondary,https://www.wettbewerbszentrale.de/olg-koeln-zu-cookies-ablehnen-und-einwilligen-muessen-gleichrangig-sein/,https://simeonatanasov.com/cookie-digest.html#ck-d055
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,29 December 2023,enforcement,decided,"CNIL, Yahoo EMEA fined 10 million euros for ignoring cookie refusals and tying withdrawal to loss of email access","consent, cookie-walls, enforcement",secondary,https://www.strategies.fr/actualites/medias/LQ2794095C/la-cnil-sanctionne-yahoo-d-une-amende-de-10-millions-d-euros-pour-ses-cookies.html,https://simeonatanasov.com/cookie-digest.html#ck-d056
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Spain,11 July 2023,regulator guidance,superseded,"AEPD, press release: cookie guide updated to the EDPB deceptive design guidelines, compliance by 11 January 2024","reject-button, dark-patterns, cookie-walls",primary,https://www.aepd.es/prensa-y-comunicacion/notas-de-prensa/aepd-actualiza-guia-cookies-para-adaptarla-a-nuevas-directrices-cepd,https://simeonatanasov.com/cookie-digest.html#ck-d057
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,15 June 2023,enforcement,decided,"CNIL, Criteo fined 40 million euros for retargeting without proof of consent (upheld by the Conseil d'Etat, decision no. 482872)","consent, tcf, enforcement",primary,https://www.edpb.europa.eu/news/national-news/2023/personalised-advertising-french-sa-fined-criteo-eur-40000000_en,https://simeonatanasov.com/cookie-digest.html#ck-d058
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Germany,22 March 2023,regulator guidance,in force,"DSK, Beschluss zur Bewertung von Pur-Abo-Modellen auf Websites","consent-or-pay, consent",primary,https://www.datenschutzkonferenz-online.de/media/pm/DSK_Beschluss_Bewertung_von_Pur-Abo-Modellen_auf_Websites.pdf,https://simeonatanasov.com/cookie-digest.html#ck-d059
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Denmark,20 February 2023,regulator guidance,in force,"Datatilsynet, guidance on the use of cookie walls (four criteria) following two decisions","cookie-walls, consent-or-pay",primary,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2023/feb/brug-af-cookie-walls,https://simeonatanasov.com/cookie-digest.html#ck-d060
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Spain,18 January 2023,enforcement,decided,"AEPD, PS/00393/2022: Infinity Ecom fined 10,000 euros, including 5,000 euros for non-essential cookies placed without consent","consent, enforcement",primary,https://www.aepd.es/documento/reposicion-ps-00393-2022.pdf,https://simeonatanasov.com/cookie-digest.html#ck-d061
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,29 December 2022,enforcement,decided,"CNIL, Deliberation SAN-2022-027: TikTok fined 5 million euros for a banner without an equivalent refuse option","reject-button, children, enforcement",secondary,https://www.hunton.com/privacy-and-information-security-law/cnil-fines-tiktok-5-million-euros-over-cookie-infringements,https://simeonatanasov.com/cookie-digest.html#ck-d062
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,19 December 2022,enforcement,decided,"CNIL, Deliberation SAN-2022-023: Microsoft Ireland Operations fined 60 million euros for cookies on bing.com","reject-button, consent, enforcement",primary,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000046768989,https://simeonatanasov.com/cookie-digest.html#ck-d063
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Germany,5 December 2022,regulator guidance,in force,"DSK, Orientierungshilfe fuer Anbieter:innen von Telemedien (OH Telemedien 2021), version 1.1","reject-button, strictly-necessary, consent",primary,https://www.datenschutzkonferenz-online.de/media/oh/20221205_oh_Telemedien_2021_Version_1_1_Vorlage_104_DSK_final.pdf,https://simeonatanasov.com/cookie-digest.html#ck-d064
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Belgium,25 May 2022,enforcement,decided,"Belgian DPA, decision 85/2022: Roularta Media Group fined 50,000 euros after the cookie sweep of 20 press sites","consent, enforcement, dark-patterns",primary,https://www.autoriteprotectiondonnees.be/citoyen/enquete-cookies-sur-les-sites-de-presse-roularta-mis-a-lamende,https://simeonatanasov.com/cookie-digest.html#ck-d065
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,16 May 2022,regulator guidance,in force,"CNIL, first evaluation criteria for cookie walls and paywalls","cookie-walls, consent-or-pay",primary,https://www.cnil.fr/fr/cookie-walls-la-cnil-publie-des-premiers-criteres-devaluation,https://simeonatanasov.com/cookie-digest.html#ck-d066
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Belgium,14 May 2025,court decision,decided,"Brussels Market Court, judgment 2022/AR/292 on IAB Europe's appeal against decision 21/2022","tcf, consent",primary,https://www.dataprotectionauthority.be/citizen/the-market-court-rules-in-the-iab-europe-case,https://simeonatanasov.com/cookie-digest.html#ck-d067
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,28 January 2022,court decision,decided,"Conseil d'Etat, decision no. 449209: Google's 100 million euro cookie fine confirmed","enforcement, consent",primary,https://www.conseil-etat.fr/fr/arianeweb/CE/decision/2022-01-28/449209,https://simeonatanasov.com/cookie-digest.html#ck-d068
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Germany,20 January 2022,court decision,decided,"Landgericht Muenchen I, judgment 3 O 17493/20 on Google Fonts embedded from Google servers","consent, transfers",primary,https://www.gesetze-bayern.de/Content/Document/Y-300-Z-GRURRS-B-2022-N-612,https://simeonatanasov.com/cookie-digest.html#ck-d069
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Austria,13 January 2022,enforcement,decided,"Austrian Datenschutzbehoerde, decision on Google Analytics and EU-US transfers (noyb model complaint 101)","transfers, analytics-exemption, enforcement",secondary,https://noyb.eu/en/austrian-dsb-eu-us-data-transfers-google-analytics-illegal,https://simeonatanasov.com/cookie-digest.html#ck-d070
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Czech Republic,1 January 2022,legislation,in force,"UOOU (Czech Republic), cookies only with consent from 1 January 2022 (amendment to the Electronic Communications Act)","consent, strictly-necessary",primary,https://uoou.gov.cz/index.php/novinky/vse/cookies-od-zacatku-roku-2022-pouze-se-souhlasem,https://simeonatanasov.com/cookie-digest.html#ck-d071
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,31 December 2021,enforcement,decided,"CNIL, Deliberation SAN-2021-023: Google fined 150 million euros because refusing cookies took more clicks than accepting","reject-button, dark-patterns, enforcement",primary,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000044840062,https://simeonatanasov.com/cookie-digest.html#ck-d072
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,France,31 December 2021,enforcement,decided,"CNIL, Deliberation SAN-2021-024: Facebook Ireland fined 60 million euros over the refusal path on facebook.com","reject-button, dark-patterns, enforcement",primary,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000044840532,https://simeonatanasov.com/cookie-digest.html#ck-d073
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Luxembourg,26 October 2021,regulator guidance,in force,"CNPD (Luxembourg), updated guidelines on cookies and other tracking devices","consent, strictly-necessary",primary,https://cnpd.public.lu/en/actualites/national/2021/11/lignes-drectrices-cookies.html,https://simeonatanasov.com/cookie-digest.html#ck-d074
EU member states,https://simeonatanasov.com/cookie-digest.html#ck-eu-member-states,Finland,13 September 2021,regulator guidance,in force,"Traficom, guidance on cookies and other information stored on users' terminal devices (service providers)","consent, reject-button, strictly-necessary",primary,https://www.kyberturvallisuuskeskus.fi/fi/toimintamme/saantely-ja-valvonta/evasteet,https://simeonatanasov.com/cookie-digest.html#ck-d075
